X,Task_number,HIT_id,HIT_website_address,HIT_results_address,HIT_status,submitted_assignments,Worker_id,Assignment_id,Accept_time,Submit_time,Full_response,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
0,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A3CH1Z6J9R38G9,39OWYR0EPLZDJH455QCFM51Q3VSFY2,2021-07-22 12:16:14-07:00,2021-07-22 12:18:47-07:00,"[{""q1"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false}}]",1.16,1.68,1.5,1.16,1.84,1.84,1.84,1.16,1.5,1.16
1,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A1Y25W1Y7KDE5,37Z929RLGAGQ60AX14PFLNSQDJ4ST9,2021-07-22 12:16:12-07:00,2021-07-22 12:19:06-07:00,"[{""q1"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false}}]",1.32,1,1.32,1.68,1.32,1.16,1.84,1.68,1.84,1.68
2,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A1XVEKS9O73ERE,36PW28KO404KHL66U9ET11YJO3AEA9,2021-07-22 12:16:14-07:00,2021-07-22 12:19:40-07:00,"[{""q1"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false}}]",1.68,1.16,1.32,1.68,1.32,1.32,1.84,1.32,1.68,1.32
3,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A351P2O6QGTCS,3T111IHZ5FYVL616O9KT4DMIXAIR9K,2021-07-22 12:16:25-07:00,2021-07-22 12:20:20-07:00,"[{""q1"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false}}]",1,1,1.5,1,1.5,1,2,1.5,1.5,1.5
4,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A26M997VYVK0E6,384PI804XT9PQRD632151CQLG880S6,2021-07-22 12:16:14-07:00,2021-07-22 12:21:02-07:00,"[{""q1"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false}}]",1.16,1.84,1.5,1.32,1.84,1.16,1.68,1.5,2,1.68
5,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A1MSJKSKQEVY5H,3B1NLC6UG04PO38ZPNMERZ8Q05PGP8,2021-07-22 12:16:25-07:00,2021-07-22 12:21:12-07:00,"[{""q1"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q6"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false}}]",1.84,1.5,1.5,2,1.84,1,1.84,1.84,2,1.5
6,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A5P12YJP805RG,3HMIGG0U4ME442UIXC69CDK4GRFY84,2021-07-22 12:16:14-07:00,2021-07-22 12:21:38-07:00,"[{""q1"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false}}]",1.16,1.5,1.5,1.32,1.68,1,2,1.68,1.84,1.68
7,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,AKQAI78JTXXC9,337RC3OW06AIFFJWMQSTAJ2GIACLV4,2021-07-22 12:18:29-07:00,2021-07-22 12:21:40-07:00,"[{""q1"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":true,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":true,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false}}]",1.32,1.84,1.5,1.5,1.84,1.16,1.84,1.68,1.68,1.84
8,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A2NAKIXS3DVGAA,3TMSXRD2X78I4XFXJQF6C6CGRD9W1J,2021-07-22 12:16:14-07:00,2021-07-22 12:23:49-07:00,"[{""q1"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":false,""1.32"":true,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q7"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":true,""1.84"":false,""2"":false,""video not playing"":false}}]",1.32,1.68,1.5,1.5,1.5,1.32,1.68,1.5,1.68,1.68
9,7,3KLL7H3EGD8D6Z2C528TU7DLW1FVH7,https://www.mturk.com/mturk/preview?groupId=3BHRGUFAI84QNQIBJ8V3S9POZJDSCY,https://requester.mturk.com/mturk/manageHITs,Reviewable,50,A1BYV2REU9Y88K,3HFNH7HEMIMAOF9EP013R4Y051BQG9,2021-07-22 12:17:27-07:00,2021-07-22 12:24:53-07:00,"[{""q1"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q10"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q2"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false},""q3"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q4"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q5"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q6"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":true,""video not playing"":false},""q7"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q8"":{""1"":false,""1.16"":false,""1.32"":false,""1.5"":true,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false},""q9"":{""1"":true,""1.16"":false,""1.32"":false,""1.5"":false,""1.68"":false,""1.84"":false,""2"":false,""video not playing"":false}}]",1,2,1.5,1,1,2,1,1.5,1,1.5
