"ICC","Number_of_workers"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.96","43"
"0.97","43"
"0.96","43"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.97","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.97","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.97","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.97","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.95","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","42"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.97","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.95","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.95","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.97","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
"0.96","41"
