"ICC","Number_of_workers"
"0.38","43"
"0.39","43"
"0.37","43"
"0.37","43"
"0.39","43"
"0.39","43"
"0.4","43"
"0.39","43"
"0.38","43"
"0.39","43"
"0.39","43"
"0.39","43"
"0.38","43"
"0.39","43"
"0.39","43"
"0.38","43"
"0.37","43"
"0.39","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.36","43"
"0.37","43"
"0.37","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.37","43"
"0.38","43"
"0.39","43"
"0.37","43"
"0.39","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.36","43"
"0.38","43"
"0.39","43"
"0.37","43"
"0.37","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.39","43"
"0.38","43"
"0.39","43"
"0.38","43"
"0.39","43"
"0.38","43"
"0.36","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.39","43"
"0.37","43"
"0.38","43"
"0.39","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.39","43"
"0.38","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.36","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.37","43"
"0.39","43"
"0.37","43"
"0.36","43"
"0.38","43"
"0.37","43"
"0.37","43"
"0.38","43"
"0.38","43"
"0.38","43"
"0.39","43"
"0.37","43"
"0.39","42"
"0.37","42"
"0.39","42"
"0.37","42"
"0.36","42"
"0.38","42"
"0.37","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.37","42"
"0.38","42"
"0.39","42"
"0.38","42"
"0.37","42"
"0.39","42"
"0.4","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.36","42"
"0.39","42"
"0.39","42"
"0.39","42"
"0.39","42"
"0.39","42"
"0.38","42"
"0.39","42"
"0.37","42"
"0.36","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.37","42"
"0.39","42"
"0.38","42"
"0.38","42"
"0.36","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.39","42"
"0.37","42"
"0.37","42"
"0.38","42"
"0.39","42"
"0.39","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.39","42"
"0.38","42"
"0.37","42"
"0.37","42"
"0.37","42"
"0.38","42"
"0.39","42"
"0.37","42"
"0.37","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.36","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.39","42"
"0.39","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.37","42"
"0.38","42"
"0.36","42"
"0.39","42"
"0.37","42"
"0.38","42"
"0.38","42"
"0.38","42"
"0.38","41"
"0.36","41"
"0.39","41"
"0.37","41"
"0.39","41"
"0.38","41"
"0.37","41"
"0.38","41"
"0.39","41"
"0.36","41"
"0.39","41"
"0.38","41"
"0.38","41"
"0.35","41"
"0.39","41"
"0.38","41"
"0.38","41"
"0.37","41"
"0.38","41"
"0.37","41"
"0.38","41"
"0.38","41"
"0.36","41"
"0.37","41"
"0.38","41"
"0.38","41"
"0.39","41"
"0.38","41"
"0.35","41"
"0.38","41"
"0.37","41"
"0.37","41"
"0.39","41"
"0.37","41"
"0.38","41"
"0.38","41"
"0.37","41"
"0.37","41"
"0.38","41"
"0.39","41"
"0.37","41"
"0.38","41"
"0.39","41"
"0.37","41"
"0.38","41"
"0.38","41"
"0.37","41"
"0.39","41"
"0.39","41"
"0.37","41"
"0.37","41"
"0.38","41"
"0.36","41"
"0.35","41"
"0.37","41"
"0.37","41"
"0.37","41"
"0.38","41"
"0.37","41"
"0.38","41"
"0.38","41"
"0.38","41"
"0.36","41"
"0.37","41"
"0.39","41"
"0.39","41"
"0.37","41"
