Cow,date,GS,got,note
6095,5/28/21,4,Y,does not look like a 4
6088,6/4/21,4,Y,
6029,5/13/21,4,Y,does not look like a 4
5087,5/28/21,4,Y,
4026,4/9/21,3,Y,
4035,5/28/21,3,Y,
6053,6/11/21,3,Y,
4008,5/28/21,3,Y,
5064,6/11/21,3,Y,
6096,4/30/21,3,Y,
7128,4/1/21,2,Y,does not look like a 2
5118,5/7/21,3,Y,
6025,4/1/21,2,Y,
6062,6/11/21,2.49,Y,
6068,5/28/21,2,Y,
6086,6/11/21,2.51,Y,
6092,6/11/21,2.49,Y,
7045,5/13/21,2,Y,
7060,6/4/21,2,Y,
7064,6/4/21,2.49,Y,
7109,5/7/21,2,Y,
7114,5/28/21,2,Y,
7116,6/4/21,2.49,Y,
7136,6/11/21,2,Y,
7138,6/4/21,2,Y,
7153,6/4/21,2,Y,
7163,5/21/21,2,Y,
8083,5/21/21,2,Y,
6094,6/4/21,2,Y,
6046,6/4/21,2,Y,
