Cow,date,question_num,HIT,Worker_id,GS_round,GS
7045,5/13/21,1,0,DW,1,2
7045,5/13/21,1,0,DW,2,2
7045,5/13/21,1,0,RD,1,2
7045,5/13/21,1,0,AS,1,2
7045,5/13/21,1,0,HE,1,2
7045,5/13/21,1,0,DW,3,2
7045,5/13/21,1,0,HE,2,2
7045,5/13/21,1,0,AS,2,2
7045,5/13/21,1,0,RD,2,2
7045,5/13/21,1,0,SB,1,1
7045,5/13/21,1,0,RD,3,2
7045,5/13/21,1,0,HE,3,2
5087,5/28/21,2,0,DW,1,4
5087,5/28/21,2,0,DW,2,4
5087,5/28/21,2,0,RD,1,4
5087,5/28/21,2,0,AS,1,4
5087,5/28/21,2,0,HE,1,4
5087,5/28/21,2,0,DW,3,4
5087,5/28/21,2,0,HE,2,4
5087,5/28/21,2,0,AS,2,4
5087,5/28/21,2,0,RD,2,3
5087,5/28/21,2,0,SB,1,4
5087,5/28/21,2,0,RD,3,3
5087,5/28/21,2,0,HE,3,4
6046,6/4/21,3,0,DW,1,2
6046,6/4/21,3,0,DW,2,2
6046,6/4/21,3,0,RD,1,2
6046,6/4/21,3,0,AS,1,2
6046,6/4/21,3,0,HE,1,2
6046,6/4/21,3,0,DW,3,2
6046,6/4/21,3,0,HE,2,2
6046,6/4/21,3,0,AS,2,2
6046,6/4/21,3,0,RD,2,3
6046,6/4/21,3,0,SB,1,1
6046,6/4/21,3,0,RD,3,2
6046,6/4/21,3,0,HE,3,2
7138,6/4/21,4,0,DW,1,2
7138,6/4/21,4,0,DW,2,2
7138,6/4/21,4,0,RD,1,2
7138,6/4/21,4,0,AS,1,3
7138,6/4/21,4,0,HE,1,2
7138,6/4/21,4,0,DW,3,2
7138,6/4/21,4,0,HE,2,2
7138,6/4/21,4,0,AS,2,3
7138,6/4/21,4,0,RD,2,2
7138,6/4/21,4,0,SB,1,2
7138,6/4/21,4,0,RD,3,3
7138,6/4/21,4,0,HE,3,4
6068,5/28/21,5,0,DW,1,2
6068,5/28/21,5,0,DW,2,2
6068,5/28/21,5,0,RD,1,2
6068,5/28/21,5,0,AS,1,3
6068,5/28/21,5,0,HE,1,3
6068,5/28/21,5,0,DW,3,2
6068,5/28/21,5,0,HE,2,4
6068,5/28/21,5,0,AS,2,3
6068,5/28/21,5,0,RD,2,2
6068,5/28/21,5,0,SB,1,3
6068,5/28/21,5,0,RD,3,3
6068,5/28/21,5,0,HE,3,3
6029,5/13/21,6,0,DW,1,2
6029,5/13/21,6,0,DW,2,2
6029,5/13/21,6,0,RD,1,2
6029,5/13/21,6,0,AS,1,2
6029,5/13/21,6,0,HE,1,2
