Cow,date,question_num,HIT,Worker_id,GS_round,GS
7045,5/13/21,1,0,Wali,2,2
5087,5/28/21,2,0,Wali,2,4
6046,6/4/21,3,0,Wali,2,2
7138,6/4/21,4,0,Wali,2,2
6068,5/28/21,5,0,Wali,2,3
6029,5/13/21,6,0,Wali,2,2
7064,6/4/21,7,0,Wali,2,2
6095,5/28/21,8,0,Wali,2,2
6086,6/11/21,9,0,Wali,2,3
6062,6/11/21,10,0,Wali,2,2
6096,4/30/21,11,0,Wali,2,3
5064,6/11/21,12,0,Wali,2,2
7116,6/4/21,13,0,Wali,2,2
7136,6/11/21,14,0,Wali,2,2
7128,4/1/21,15,0,Wali,2,2
4035,5/28/21,16,0,Wali,2,3
4026,4/9/21,17,0,Wali,2,2
6094,6/4/21,18,0,Wali,2,2
6025,4/1/21,19,0,Wali,2,2
6053,6/11/21,20,0,Wali,2,2
8083,5/21/21,21,0,Wali,2,2
4008,5/28/21,22,0,Wali,2,2
7114,5/28/21,23,0,Wali,2,2
7109,5/7/21,24,0,Wali,2,2
6088,6/4/21,25,0,Wali,2,3
5118,5/7/21,26,0,Wali,2,2
7163,5/21/21,27,0,Wali,2,2
6092,6/11/21,28,0,Wali,2,2
7060,6/4/21,29,0,Wali,2,2
7153,6/4/21,30,0,Wali,2,2
