"","Cow","date","question_num","HIT","Worker_id","GS_round","GS"
"1",7045,"5/13/21",1,0,"DW",1,2
"2",7045,"5/13/21",1,0,"DW",2,2
"3",7045,"5/13/21",1,0,"RD",1,2
"4",7045,"5/13/21",1,0,"AS",1,2
"5",7045,"5/13/21",1,0,"HE",1,2
"6",7045,"5/13/21",1,0,"DW",3,2
"7",7045,"5/13/21",1,0,"HE",2,2
"8",7045,"5/13/21",1,0,"AS",2,2
"9",7045,"5/13/21",1,0,"RD",2,2
"11",7045,"5/13/21",1,0,"RD",3,2
"12",7045,"5/13/21",1,0,"HE",3,2
"13",5087,"5/28/21",2,0,"DW",1,4
"14",5087,"5/28/21",2,0,"DW",2,4
"15",5087,"5/28/21",2,0,"RD",1,4
"16",5087,"5/28/21",2,0,"AS",1,4
"17",5087,"5/28/21",2,0,"HE",1,4
"18",5087,"5/28/21",2,0,"DW",3,4
"19",5087,"5/28/21",2,0,"HE",2,4
"20",5087,"5/28/21",2,0,"AS",2,4
"21",5087,"5/28/21",2,0,"RD",2,3
"23",5087,"5/28/21",2,0,"RD",3,3
"24",5087,"5/28/21",2,0,"HE",3,4
"25",6046,"6/4/21",3,0,"DW",1,2
"26",6046,"6/4/21",3,0,"DW",2,2
"27",6046,"6/4/21",3,0,"RD",1,2
"28",6046,"6/4/21",3,0,"AS",1,2
"29",6046,"6/4/21",3,0,"HE",1,2
"30",6046,"6/4/21",3,0,"DW",3,2
"31",6046,"6/4/21",3,0,"HE",2,2
"32",6046,"6/4/21",3,0,"AS",2,2
"33",6046,"6/4/21",3,0,"RD",2,3
"35",6046,"6/4/21",3,0,"RD",3,2
"36",6046,"6/4/21",3,0,"HE",3,2
"37",7138,"6/4/21",4,0,"DW",1,2
"38",7138,"6/4/21",4,0,"DW",2,2
"39",7138,"6/4/21",4,0,"RD",1,2
"40",7138,"6/4/21",4,0,"AS",1,3
"41",7138,"6/4/21",4,0,"HE",1,2
"42",7138,"6/4/21",4,0,"DW",3,2
"43",7138,"6/4/21",4,0,"HE",2,2
"44",7138,"6/4/21",4,0,"AS",2,3
"45",7138,"6/4/21",4,0,"RD",2,2
"47",7138,"6/4/21",4,0,"RD",3,3
"48",7138,"6/4/21",4,0,"HE",3,4
"49",6068,"5/28/21",5,0,"DW",1,2
"50",6068,"5/28/21",5,0,"DW",2,2
"51",6068,"5/28/21",5,0,"RD",1,2
"52",6068,"5/28/21",5,0,"AS",1,3
"53",6068,"5/28/21",5,0,"HE",1,3
"54",6068,"5/28/21",5,0,"DW",3,2
"55",6068,"5/28/21",5,0,"HE",2,4
"56",6068,"5/28/21",5,0,"AS",2,3
"57",6068,"5/28/21",5,0,"RD",2,2
"59",6068,"5/28/21",5,0,"RD",3,3
"60",6068,"5/28/21",5,0,"HE",3,3
"61",6029,"5/13/21",6,0,"DW",1,2
"62",6029,"5/13/21",6,0,"DW",2,2
"63",6029,"5/13/21",6,0,"RD",1,2
"64",6029,"5/13/21",6,0,"AS",1,2
"65",6029,"5/13/21",6,0,"HE",1,2
"66",6029,"5/13/21",6,0,"DW",3,2
"67",6029,"5/13/21",6,0,"HE",2,2
"68",6029,"5/13/21",6,0,"AS",2,2
"69",6029,"5/13/21",6,0,"RD",2,3
"71",6029,"5/13/21",6,0,"RD",3,2
"72",6029,"5/13/21",6,0,"HE",3,2
"73",7064,"6/4/21",7,0,"DW",1,2
"74",7064,"6/4/21",7,0,"DW",2,2
"75",7064,"6/4/21",7,0,"RD",1,2
"76",7064,"6/4/21",7,0,"AS",1,3
"77",7064,"6/4/21",7,0,"HE",1,2
"78",7064,"6/4/21",7,0,"DW",3,2
"79",7064,"6/4/21",7,0,"HE",2,2
"80",7064,"6/4/21",7,0,"AS",2,3
"81",7064,"6/4/21",7,0,"RD",2,3
"83",7064,"6/4/21",7,0,"RD",3,2
"84",7064,"6/4/21",7,0,"HE",3,2
"85",6095,"5/28/21",8,0,"DW",1,3
"86",6095,"5/28/21",8,0,"DW",2,3
"87",6095,"5/28/21",8,0,"RD",1,3
"88",6095,"5/28/21",8,0,"AS",1,3
"89",6095,"5/28/21",8,0,"HE",1,3
"90",6095,"5/28/21",8,0,"DW",3,3
"91",6095,"5/28/21",8,0,"HE",2,2
"92",6095,"5/28/21",8,0,"AS",2,3
"93",6095,"5/28/21",8,0,"RD",2,2
"95",6095,"5/28/21",8,0,"RD",3,3
"96",6095,"5/28/21",8,0,"HE",3,2
