"","Cow","GS"
"1",4008,2.2
"2",4026,2.2
"3",4035,3.06666666666667
"4",5064,2.13333333333333
"5",5087,3.86666666666667
"6",5118,2.26666666666667
"7",6025,2.33333333333333
"8",6029,2.06666666666667
"9",6046,2.13333333333333
"10",6053,2.46666666666667
"11",6062,2.46666666666667
"12",6068,2.6
"13",6086,2.93333333333333
"14",6088,3.53333333333333
"15",6092,2.06666666666667
"16",6094,2.13333333333333
"17",6095,2.66666666666667
"18",6096,2.4
"19",7045,2
"20",7060,2.33333333333333
"21",7064,2.26666666666667
"22",7109,2.13333333333333
"23",7114,2
"24",7116,2.53333333333333
"25",7128,2.26666666666667
"26",7136,2.13333333333333
"27",7138,2.33333333333333
"28",7153,2.06666666666667
"29",7163,2.13333333333333
"30",8083,2.26666666666667
