,HIT,HIT_id,HIT_website_address,HIT_results_address
0,1,31S7M7DAGGX0F3HDRSJ2R0Y80KTTLD,https://workersandbox.mturk.com/mturk/preview?groupId=30WQ7ZZ0RTUZZJXSWT54TOXFV78H9I,https://requestersandbox.mturk.com/mturk/manageHITs
1,2,3XJOUITW8UYB60XQJXRY8MX2AQGTQ2,https://workersandbox.mturk.com/mturk/preview?groupId=3OVLEL0XXZ6GUFO944LQL2YQM4OHES,https://requestersandbox.mturk.com/mturk/manageHITs
2,3,31ANT7FQN89W85NXZBM6WSZN30Z5HS,https://workersandbox.mturk.com/mturk/preview?groupId=3VRC340QZ6YI9ODHOYQ38YXPVXSAUR,https://requestersandbox.mturk.com/mturk/manageHITs
3,4,3X2LT8FDHWPXSD1OS8F99FJ1KECW8K,https://workersandbox.mturk.com/mturk/preview?groupId=33VSRLCQV09YJ74ADHXHY0MHPIUCXN,https://requestersandbox.mturk.com/mturk/manageHITs
4,5,30EV7DWJTV2ED4D0EU0ZAY8QPRMY6Z,https://workersandbox.mturk.com/mturk/preview?groupId=321U9GNOWQP592QNCUF7Z3T06W484Y,https://requestersandbox.mturk.com/mturk/manageHITs
5,6,3X52SWXE0XCZ4GR19KVEB1FKA5XWCQ,https://workersandbox.mturk.com/mturk/preview?groupId=33YD3YS58SDNO24PEZL2VL2SXISCZK,https://requestersandbox.mturk.com/mturk/manageHITs
6,7,3MQKOF1EE2V998XF9GQPV7X2V59WDQ,https://workersandbox.mturk.com/mturk/preview?groupId=3X20CIABYWS0R94DA13L9SHO0BLD0T,https://requestersandbox.mturk.com/mturk/manageHITs
7,8,31MCUE39BKTFUU5I1MGVWVP2A4V3G1,https://workersandbox.mturk.com/mturk/preview?groupId=3WB9XW3MQVNSZ753EYIS86EFT9FKC6,https://requestersandbox.mturk.com/mturk/manageHITs
8,9,3EPG8DX9LKXOLMLLIOUB511EPR95PX,https://workersandbox.mturk.com/mturk/preview?groupId=36L9PLEPXQSARDD42H62B6XX6NXM24,https://requestersandbox.mturk.com/mturk/manageHITs
9,10,34HEO7RUG61635DHQCPHI7HFINXRAG,https://workersandbox.mturk.com/mturk/preview?groupId=3ND6XU89DJU5EYT8RXEHU35VN1ZANZ,https://requestersandbox.mturk.com/mturk/manageHITs
10,11,3ZC62PVYDHH2WE7MALNNRXE1KPRXXM,https://workersandbox.mturk.com/mturk/preview?groupId=3164SQ54U33S7Q9EM0P6IEU3O737XP,https://requestersandbox.mturk.com/mturk/manageHITs
11,12,34O39PNDK6FBMFI9WQPDDI1L05IRBB,https://workersandbox.mturk.com/mturk/preview?groupId=3S5CBU44O30NWJTKSCEU9S50DB4AOE,https://requestersandbox.mturk.com/mturk/manageHITs
12,13,3BDORL6HKKKUWKAFAQL8O273IQIRCI,https://workersandbox.mturk.com/mturk/preview?groupId=3KBQBQZF89I5HJ5L7CR9YSAQNG0APV,https://requestersandbox.mturk.com/mturk/manageHITs
13,14,3K2CEDRACB8KLLZYR4KHRDDX0PJTMF,https://workersandbox.mturk.com/mturk/preview?groupId=37WXWKHWAXUD427XOZJ4PJ8Z1PQHAX,https://requestersandbox.mturk.com/mturk/manageHITs
14,15,3Z8UJEJOCZK0FKIANGAL4E3F6R039A,https://workersandbox.mturk.com/mturk/preview?groupId=3BKZR1PB4GL3JQW2475PM6M5XN4K6E,https://requestersandbox.mturk.com/mturk/manageHITs
15,16,3U74KRR67MSQ33KY35ZH4S2X5FTTNF,https://workersandbox.mturk.com/mturk/preview?groupId=373MH2DFEX8INCCPUDJ0KUS5J7BHBS,https://requestersandbox.mturk.com/mturk/manageHITs
16,17,30Y6N4AHYP341CGTAMGJ88PL3QURDI,https://workersandbox.mturk.com/mturk/preview?groupId=3QPQ7LAZER0QHV607P6YYX00SCMAQM,https://requestersandbox.mturk.com/mturk/manageHITs
17,18,3ZZAYRN1I6Y8LOKA4KZUJH22VPYTOU,https://workersandbox.mturk.com/mturk/preview?groupId=3ES7ZYWJEBD1XH4V8DFVVEYN1SBHCZ,https://requestersandbox.mturk.com/mturk/manageHITs
18,19,3R5OYNIC2CGQ6OWBJKC98H7S5UUTPB,https://workersandbox.mturk.com/mturk/preview?groupId=33DPVH0JSGWB29A989A6FKG5MSNHDZ,https://requestersandbox.mturk.com/mturk/manageHITs
19,20,33CLA8O0MII1ZWUP1SB9W8S6F3ARFT,https://workersandbox.mturk.com/mturk/preview?groupId=34PM2WU5W9LQTWL0K4VY3NA5OYOARN,https://requestersandbox.mturk.com/mturk/manageHITs
20,21,3L7SUC0TTU1J5C27T2W772BS3EN0MB,https://workersandbox.mturk.com/mturk/preview?groupId=3R4042Q91CDOMXXZ4PHW0Z7DIQQFFA,https://requestersandbox.mturk.com/mturk/manageHITs
21,22,3ZVPAMTJWNA7DWQKCCHRETSIGIARGS,https://workersandbox.mturk.com/mturk/preview?groupId=34LHDG0NEUL2UBLDZTV3TXF1A07ASB,https://requestersandbox.mturk.com/mturk/manageHITs
22,23,3J94SKDEKIWFWPIVDF3G57KPB865DJ,https://workersandbox.mturk.com/mturk/preview?groupId=30GSXMI5ZUX39BYSOT0T32BNCJLAT0,https://requestersandbox.mturk.com/mturk/manageHITs
23,24,3HUR21WDDUWRWJXWFH9PABLAMVLXYS,https://workersandbox.mturk.com/mturk/preview?groupId=3JOPS26JUGIH7VZORWB81S1CQDX7YV,https://requestersandbox.mturk.com/mturk/manageHITs
24,25,3VCK0Q0PO5LPNUN753B7KH0S84X0NB,https://workersandbox.mturk.com/mturk/preview?groupId=3NN44GVSBH5U0XTUF9NEIK7PJ5QFG9,https://requestersandbox.mturk.com/mturk/manageHITs
25,26,36FQTHX3Z3YJ3DX7L0OHVKY5UR33BK,https://workersandbox.mturk.com/mturk/preview?groupId=3UMLY1W0PYHMNQA7NHAHSKM1SYOK7D,https://requestersandbox.mturk.com/mturk/manageHITs
26,27,3KVQ0UJWPXSE5VIMUA86XV9AIOBW5I,https://workersandbox.mturk.com/mturk/preview?groupId=32NM6IFD3KH623AF8CMUETNDV0DCUV,https://requestersandbox.mturk.com/mturk/manageHITs
