,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3M93N4X8HKUT5DGYZ72Z1GPUUK9SJ0,https://workersandbox.mturk.com/mturk/preview?groupId=3EPQ0AEIVAQZLEEIR1ZQTS24B1QH8T,https://requestersandbox.mturk.com/mturk/manageHITs
1,2,3PMR2DOWOO82WTZ2K42N23QJY3C45K,https://workersandbox.mturk.com/mturk/preview?groupId=3QUMZFVHE82P6U9XUREMNI8JSF3R6J,https://requestersandbox.mturk.com/mturk/manageHITs
2,20,3DFYDSXB2W79KQ82OCXZGH7IFHUUJI,https://workersandbox.mturk.com/mturk/preview?groupId=3I3MQQJ31SQD1KPNGGTWQVVBANU1J4,https://requestersandbox.mturk.com/mturk/manageHITs
3,31,3RWO3EJELHGPX4K2H1SZ2BOXDJ31PQ,https://workersandbox.mturk.com/mturk/preview?groupId=3HFGFN16MW96ZOF44Y2FZL1EXYOTEJ,https://requestersandbox.mturk.com/mturk/manageHITs
4,32,3H5TOKO3D9QYFXZGPNCSU94JUYN460,https://workersandbox.mturk.com/mturk/preview?groupId=39W86F26ZQY8AUN2D1JETW8FNQNR7I,https://requestersandbox.mturk.com/mturk/manageHITs
5,33,3XAOZ9UYRZYAXGLHHE7O2GE7IFP1QH,https://workersandbox.mturk.com/mturk/preview?groupId=3ZBZJNFB56EY52F0Z9MLH3ME9Z3TF1,https://requestersandbox.mturk.com/mturk/manageHITs
6,34,307FVKVSYRMHJXDL8XHK0N4FP9747Z,https://workersandbox.mturk.com/mturk/preview?groupId=3BIF6MRRHMHCA8SLN6BK7W4AYATR85,https://requestersandbox.mturk.com/mturk/manageHITs
7,35,3BAKUKE49HJA9H0HUTWO76OCE1R1RI,https://workersandbox.mturk.com/mturk/preview?groupId=3VU3J1KUFB64J2BVATS3ZOMQAE3TG0,https://requestersandbox.mturk.com/mturk/manageHITs
8,36,3IVKZBIBJ0GXE7L8B7ZEP39FHS5SHV,https://workersandbox.mturk.com/mturk/preview?groupId=394QQ8LGQWJZB286L6A12IYYR5KZ3E,https://requestersandbox.mturk.com/mturk/manageHITs
9,37,3W3RSPVVGSYFFGW2RX9CWWKAJ6ZULK,https://workersandbox.mturk.com/mturk/preview?groupId=3W850VB9FSM8C4V5Y1T8RAVOPCU1K3,https://requestersandbox.mturk.com/mturk/manageHITs
10,38,3FDWKV9VCN9ZLYENR9ARW9ZZJBPUMM,https://workersandbox.mturk.com/mturk/preview?groupId=31RF5NHNFOHJWADNJ1596A83ECZ1L6,https://requestersandbox.mturk.com/mturk/manageHITs
11,39,3PIOQ99R7YT53GZN3APR9OOZO1ZUNM,https://workersandbox.mturk.com/mturk/preview?groupId=3K1KXTVNBJS32SV8JD6O6NNSEHP1M8,https://requestersandbox.mturk.com/mturk/manageHITs
12,40,3WUVMVA7OBAF5WZ80TJU4AJERCFZAW,https://workersandbox.mturk.com/mturk/preview?groupId=33FNMBLT224NRDLKHQ2S6ONINYY40D,https://requestersandbox.mturk.com/mturk/manageHITs
13,41,3O0M2G5VC69LXG1ENUF4EJVLKZV49B,https://workersandbox.mturk.com/mturk/preview?groupId=3XPFDBC9D5LCODBVSYHY7SZLIGBR9U,https://requestersandbox.mturk.com/mturk/manageHITs
