,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3ATYLI1PRT9E7LO5SQLQHBFT00BJOC,https://workersandbox.mturk.com/mturk/preview?groupId=331OPTJB1S8F5O6LZ3S7NAMLD63TX0,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3X4Q1O9UBHTLNQN3RHWTELAK95BO7A,https://workersandbox.mturk.com/mturk/preview?groupId=3RJQE76GDHUZ6CY1PK8IOBPWLDKY3U,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3OND0WXMHWMW4OGQACF90M50J61HE1,https://workersandbox.mturk.com/mturk/preview?groupId=3GSIANI2QSK3FQ8XRMIBOTIW8L6PDP,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,371QPA24C2VNPWD9YI1J7LPU5RST14,https://workersandbox.mturk.com/mturk/preview?groupId=33YYKPVHQV9M8BFZWWTAJSLCMDQ0U4,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3PKJ68EHDN34F42IODQ0X2ISOEXHJM,https://workersandbox.mturk.com/mturk/preview?groupId=3NFX4PNWY8G107HAPJWOH8XG31G3EL,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3W0XM68YZP2OMDNM49NR6U2YME1K1P,https://workersandbox.mturk.com/mturk/preview?groupId=3OR5EJIUG2Y4453CWSC3C3M5PHJU99,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3XJOUITW8UYB60XQJXRY8MX2D3KQTW,https://workersandbox.mturk.com/mturk/preview?groupId=3J8EA8AJXQB2ER5F4JR407DLUGBVVF,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,31N9JPQXIPP0YUT33BISQ9Z9XY2HNQ,https://workersandbox.mturk.com/mturk/preview?groupId=3KYKM8PUWFJDKH8CFK4U2BUTVH83H1,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,3QX22DUVOOOZYD3NWZKWSV1I0N3MVL,https://workersandbox.mturk.com/mturk/preview?groupId=37D36GBQBZ0RU4T8WWBXKG1EXL4RZI,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,3R16PJFTS3Y5ECK5RR6T4S91YYBK42,https://workersandbox.mturk.com/mturk/preview?groupId=32NM6IFD3KH623AF8CMUETNDV2MUCQ,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,30OITAWPBQAF9SP921ZN884PS9LH9R,https://workersandbox.mturk.com/mturk/preview?groupId=3KBQBQZF89I5HJ5L7CR9YSAQNI9PAN,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,37OPIVELUUATEBZEU7DN43F9YR3HA6,https://workersandbox.mturk.com/mturk/preview?groupId=3KIFW8VYC9WA0TADDQR5T3UW50UPBI,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,37VE3DA4YUOYXL460LDJZEZFG9OHB1,https://workersandbox.mturk.com/mturk/preview?groupId=3R70E4E2CN1TAY2JRQN04N0ENLUPCP,https://requestersandbox.mturk.com/mturk/manageHITs
