,HIT,HIT_id,HIT_website_address,HIT_results_address
0,8,3FDWKV9VCN9ZLYENR9ARW9ZZMGVUM5,https://workersandbox.mturk.com/mturk/preview?groupId=3KQ8X25AA49FOBPILDGGI1HJR5E678,https://requestersandbox.mturk.com/mturk/manageHITs
1,9,34D9ZRXCYR1I4KDU51PM8HMB72LSA3,https://workersandbox.mturk.com/mturk/preview?groupId=3LJ9P5KQ15N45TWV4ZE96OTUFCXYTB,https://requestersandbox.mturk.com/mturk/manageHITs
2,10,3NRZ1LDP7WDMS05APC1RU589T3LPZL,https://workersandbox.mturk.com/mturk/preview?groupId=3QH037L2CMDV1S2MJY54QMIMGFCWAP,https://requestersandbox.mturk.com/mturk/manageHITs
3,11,3YO4AH2FPDRAQR0ZLV3OOBVXGSOQ0L,https://workersandbox.mturk.com/mturk/preview?groupId=33FNMBLT224NRDLKHQ2S6ONIN0240L,https://requestersandbox.mturk.com/mturk/manageHITs
4,20,3TCFMTM8HEVT5XJWF3HN6YG45EH21N,https://workersandbox.mturk.com/mturk/preview?groupId=3MCFX9UVS0SJOPU1VI8MW1DE2PK68V,https://requestersandbox.mturk.com/mturk/manageHITs
5,21,3PIOQ99R7YT53GZN3APR9OOZR65UN5,https://workersandbox.mturk.com/mturk/preview?groupId=3217B3DC4OBNY262D96SKT6SSS841O,https://requestersandbox.mturk.com/mturk/manageHITs
6,22,3VMHWJRYHVNLWSG1ARH1LQEUJX0XFT,https://workersandbox.mturk.com/mturk/preview?groupId=30EHNVFQMZB7J1RBSOGFS7CY2KP1BR,https://requestersandbox.mturk.com/mturk/manageHITs
7,31,39KMGHJ4RZHM2YV04X99954F3OR00Y,https://workersandbox.mturk.com/mturk/preview?groupId=37325RYUMDGQT6JH6OCA3RIGK5P1CY,https://requestersandbox.mturk.com/mturk/manageHITs
8,39,3UAU495MIIZNL1ZZ4PP4ODO4HGAUOK,https://workersandbox.mturk.com/mturk/preview?groupId=3MOGIU38IR1PWSJJDH80YTMKUL1UP4,https://requestersandbox.mturk.com/mturk/manageHITs
9,40,3XAOZ9UYRZYAXGLHHE7O2GE7LKUQ1O,https://workersandbox.mturk.com/mturk/preview?groupId=38JF4YFDOJWJ2UDB0AE0WX8PMV269K,https://requestersandbox.mturk.com/mturk/manageHITs
10,49,34KYK9TV2RFNNUIMBFPI3S6HPK6SBY,https://workersandbox.mturk.com/mturk/preview?groupId=3OLW3VWEQVBUNNOYWD66PCGXKYM425,https://requestersandbox.mturk.com/mturk/manageHITs
