,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3OCZWXS7ZOEYU16NQW14OKSUM7RL5G,https://workersandbox.mturk.com/mturk/preview?groupId=3FP1X514OQR6RAIOTCJJUELTLC5GP7,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3GV1I4SEO9WUD561VFB9GQ6UI22L6W,https://workersandbox.mturk.com/mturk/preview?groupId=3L31T0COU89RRMJ3TPY8UJB3Q8RGQY,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,33NKDW9FFXPETGWRJPR0DKTRLXNXCM,https://workersandbox.mturk.com/mturk/preview?groupId=3ZDEOZ9P07RY9EW5PJI51JE9MTR6MZ,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,3MYASTQBG7I4PB1TX7RJ3IFG9UCQDI,https://workersandbox.mturk.com/mturk/preview?groupId=3NFX4PNWY8G107HAPJWOH8XG30YE3C,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3MG8450X2OH561B0JP2JDDTUQYLUP5,https://workersandbox.mturk.com/mturk/preview?groupId=3BWB13R1238D0XIHUH1PPV9E13XIAL,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3TLFH2L6Y9VUEHV5HM1XC4ZZWAMT2Q,https://workersandbox.mturk.com/mturk/preview?groupId=31RF5NHNFOHJWADNJ1596A83EDLL1E,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3DA79LNS592JZZROLMF2VE4R2OMT31,https://workersandbox.mturk.com/mturk/preview?groupId=3NB4XF0P1VHQLVVJ255NBTI86JZL2V,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,34ZTTGSNJXVL1R6VJ3A9U3UE1M5QHR,https://workersandbox.mturk.com/mturk/preview?groupId=3WIABKGAUP80XQ4S8LUMOB90DR0E6I,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,38Z7YZ2SB39LXMHFPLSUUFVT1ZKQIK,https://workersandbox.mturk.com/mturk/preview?groupId=3FKWIKNZF74J1QIXRVZEUP9W82KE7H,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,322ZSN9Z5GR4HVASL0KL5JWXGOIT4M,https://workersandbox.mturk.com/mturk/preview?groupId=370WPY2B8VOF6DR265JSU3N0CXZL36,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,302U8RURJZ85GVON80ZW5AQI4QTNVR,https://workersandbox.mturk.com/mturk/preview?groupId=3PMOF0KIQHI9P2DX0YMXXM8XBP7BKK,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3QHITW7OYOG6R4YHDX0HDH7AORFQAG,https://workersandbox.mturk.com/mturk/preview?groupId=3IKWVMAP3F25JFID6WE5FAZ90OEE0H,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3ZXNP4Z39RSDH5K6EPG1M46QDDML7V,https://workersandbox.mturk.com/mturk/preview?groupId=3Z3XOBWUCQUR3NY364N8Z9L8MUTGRZ,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3QO7EE372OUBAE39JB0D8SRG690QBB,https://workersandbox.mturk.com/mturk/preview?groupId=3H6GKE285195Q43V2FI5TFIJ5GKE1K,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3K8CQCU3KE8IVKOSYA4SRC9WBZVNW1,https://workersandbox.mturk.com/mturk/preview?groupId=3U5YKSQWQDDK98VFLYYYCMLC0PCBLN,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,31JUPBOORNBHHJPPOU87042LOXSL8I,https://workersandbox.mturk.com/mturk/preview?groupId=3ZZSZV2CUBU342YGLTNDPJQ48WCGSN,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,3XDSWAMB22ZUKJVFXBW8JCXYOU0QCI,https://workersandbox.mturk.com/mturk/preview?groupId=33Q5C6LAR89CFPLRLJIJYYSOXMYE21,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,3QQUBC64ZELXKKTI8F0ETVN3K11NXU,https://workersandbox.mturk.com/mturk/preview?groupId=3DF3CY4WM8O4FQD0LAZDCZ010U2BMP,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,3QTFNPMJC6PMPFTX9XOZQG3ES1ZNZR,https://workersandbox.mturk.com/mturk/preview?groupId=3NKVIC4SHJ8AX8Y0XBEDPEP15KCBNP,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,36QZ6V1589K2JTRSB66D8IY5DISSUJ,https://workersandbox.mturk.com/mturk/preview?groupId=3RSP1MSSWZNOL1M30P3S2C0L0AEKUA,https://requestersandbox.mturk.com/mturk/manageHITs
20,20,3S829FDFT28OY825JLMBXQB96XZXDM,https://workersandbox.mturk.com/mturk/preview?groupId=39I6UD9LVIB4RWH51KX5EY39RJ16NZ,https://requestersandbox.mturk.com/mturk/manageHITs
21,21,3UQ1LLR26AFV07I4LSSLWV8GELSLAM,https://workersandbox.mturk.com/mturk/preview?groupId=3VU3J1KUFB64J2BVATS3ZOMQAFQGTC,https://requestersandbox.mturk.com/mturk/manageHITs
22,22,3HA5ODM5KAZ2W8GSGWGI440ORP1SV8,https://workersandbox.mturk.com/mturk/preview?groupId=32CVJ4DS802OYGB35FDXYY24EHNKVZ,https://requestersandbox.mturk.com/mturk/manageHITs
23,23,31GN6YMHLPZFBXGX66LEQ6J2YY3SWI,https://workersandbox.mturk.com/mturk/preview?groupId=3MID1PD49F21D5B8VPITK0LILQPKW9,https://requestersandbox.mturk.com/mturk/manageHITs
24,24,3R5LWXWHR0FRASCWLBNJ3BE6JPFXGW,https://workersandbox.mturk.com/mturk/preview?groupId=3EAC8D5G62HM9HHH2ZXITN3EHT66OE,https://requestersandbox.mturk.com/mturk/manageHITs
25,25,304QEQWKZPR75FNJ6IBKZ60X04LO0F,https://workersandbox.mturk.com/mturk/preview?groupId=3SC1WC0NS3ESFTYCYQEQ43P6VUHBO4,https://requestersandbox.mturk.com/mturk/manageHITs
26,26,3ZQA3IO31BY7C48121FKDBJ75WRO1I,https://workersandbox.mturk.com/mturk/preview?groupId=3KIFW8VYC9WA0TADDQR5T3UW5ZDBPL,https://requestersandbox.mturk.com/mturk/manageHITs
27,27,37Y5RYYI0PCU0XLNGBH0SPX9709SXB,https://workersandbox.mturk.com/mturk/preview?groupId=3S0VMPP5OFFG25GY5UEFMJZPUSVKX2,https://requestersandbox.mturk.com/mturk/manageHITs
28,28,3PIOQ99R7YT53GZN3APR9OOZQJKUN9,https://workersandbox.mturk.com/mturk/preview?groupId=3IP45TONNG4ZH9P2XJHBT43JBFXI8H,https://requestersandbox.mturk.com/mturk/manageHITs
29,29,371Q3BEXDHGJ5SL2HT5LPADKF07SZ8,https://workersandbox.mturk.com/mturk/preview?groupId=3AIGM1QKOSU52A68AQ0H5X6YWYPKY8,https://requestersandbox.mturk.com/mturk/manageHITs
30,30,37G6BXQPLQS9HHFTT22390X196DQEB,https://workersandbox.mturk.com/mturk/preview?groupId=3C7PNR93YF5MI30EPX17RDPMH0UE4X,https://requestersandbox.mturk.com/mturk/manageHITs
31,31,3LAZVA75NIYE1PQXL5FYIUTCX25O2Z,https://workersandbox.mturk.com/mturk/preview?groupId=3QWFS36IIREV05BSD36UT8K6AVZBQC,https://requestersandbox.mturk.com/mturk/manageHITs
32,32,3URJ6VVYUPUO435KPJYMB9QAHG1O4V,https://workersandbox.mturk.com/mturk/preview?groupId=34WBNEQO09ZVC6QSQIVUYYUB6H1BRD,https://requestersandbox.mturk.com/mturk/manageHITs
33,33,3UAU495MIIZNL1ZZ4PP4ODO4GTPUOO,https://workersandbox.mturk.com/mturk/preview?groupId=34W4CI95JZ8ZVE8C2BNPT0YUVLFI96,https://requestersandbox.mturk.com/mturk/manageHITs
34,34,3MJ28H2Y1EF60M9K3OHWG1WOHCWO50,https://workersandbox.mturk.com/mturk/preview?groupId=34S6YYW6IUZ7DLQ557VZO8Z7SJKBS1,https://requestersandbox.mturk.com/mturk/manageHITs
35,35,31MBOZ6PAOYJTMF256OC2QY4EODLCO,https://workersandbox.mturk.com/mturk/preview?groupId=3Q5NPJ2FFN7JJFQKAYID4K8STTXGU3,https://requestersandbox.mturk.com/mturk/manageHITs
