,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3CVBMEMMXBNBV91GN413UCDJXPQH7K,https://workersandbox.mturk.com/mturk/preview?groupId=3RQPR0TC3HPE63GML299YA3ZV8UMH5,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3EQPA8A3743Q6P2CUZW7X9MXKA7JZJ,https://workersandbox.mturk.com/mturk/preview?groupId=3T1XT3I8SWBCH0VUYM2S9E6D58FH6Q,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3R15W654VD0NNNPLAOP7MVNLJWRLQT,https://workersandbox.mturk.com/mturk/preview?groupId=35NE15Q62BALQ90UHQO9TB9XBDUT7B,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,31S7M7DAGGX0F3HDRSJ2R0Y833QLT7,https://workersandbox.mturk.com/mturk/preview?groupId=379L1CFRK7TPQN5DRVGF7B5SMX0T8Y,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3UUSLRKAULAUJTWE18ID3RYL5XX7D1,https://workersandbox.mturk.com/mturk/preview?groupId=3PKXTM75K3HLDMN8I5SQCYBRPUEQFY,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3RSBJ6YZECXY2J2990U52DN17ZNFOA,https://workersandbox.mturk.com/mturk/preview?groupId=3UMLY1W0PYHMNQA7NHAHSKM1S03K7W,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3LOJFQ4BOXMIE83YK27M7W37BHXKDK,https://workersandbox.mturk.com/mturk/preview?groupId=32A8IZJLQE3EETK0AZBEL5J2ZMIHGS,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,3L7SUC0TTU1J5C27T2W772BS6XJM0Y,https://workersandbox.mturk.com/mturk/preview?groupId=3WXKWJ1SHDZ17I1483RVT3JTXOXTD4,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,3JYPJ2TAYIFGNJEAO07KRDSRH4JFPR,https://workersandbox.mturk.com/mturk/preview?groupId=3W8SY8LL7U0QN4FQXM2N6KIW3K9K8J,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,3GVPRXWRPH1BR4C0TMJOUOEYX257I3,https://workersandbox.mturk.com/mturk/preview?groupId=38LKVYAVXKT1IO941VJBRW3JI1VQJ1,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,3V0TR1NRVA9Z2ZBJF0T4AE65TSAA4I,https://workersandbox.mturk.com/mturk/preview?groupId=3PICF97GBQVNYH7N09FPO180MA9P72,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,356TQKY9XF4I2Y0NK07XHZKKU6078V,https://workersandbox.mturk.com/mturk/preview?groupId=3QPQ7LAZER0QHV607P6YYX00SE1QAL,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3NSCTNUR2ZUHYIFJT5CEF6CJTO5A5N,https://workersandbox.mturk.com/mturk/preview?groupId=3R4JFGW1TMERYVC6AE7V214VXUFP8P,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3WJGKMRWVIG0VARASPQOJDQZ68ODC0,https://workersandbox.mturk.com/mturk/preview?groupId=3U2Q8YJAS8W635MBTX9CVRV1K7ZT5W,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3FBEFUUYRKCDHMFXYOMJ7CQJPJGA63,https://workersandbox.mturk.com/mturk/preview?groupId=3DBJM5HJP5IRC0VGF6D92XZ6H0XP9E,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,3XEDXEGFX3VOFO248QJRSPJOHSOK0R,https://workersandbox.mturk.com/mturk/preview?groupId=3C3J03PXDE7VL09ZHW7KFS690JZH7P,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,3LN50BUKPVI2NBO6ABAIMQXBE05LP2,https://workersandbox.mturk.com/mturk/preview?groupId=3MLSU5JHHTE2M9MPYGJHNX91G2AT6C,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,3OID399FXGE7YMBKJRGPRJB23LGFDD,https://workersandbox.mturk.com/mturk/preview?groupId=3WDXCWYEASYARQ0QS5054I6LHACJYX,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,3RDTX9JRTY8IG3JXPSDBHVFVECI79K,https://workersandbox.mturk.com/mturk/preview?groupId=3QWFS36IIREV05BSD36UT8K6AWMQBG,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,30Z7M1Q8UYR0L0YLR3JHRQMAVE6A8P,https://workersandbox.mturk.com/mturk/preview?groupId=3KBQBQZF89I5HJ5L7CR9YSAQNIFPAT,https://requestersandbox.mturk.com/mturk/manageHITs
20,20,3YD0MU1NC28WLMT2HYRBDQQFKU07AZ,https://workersandbox.mturk.com/mturk/preview?groupId=3XL0AZPMI5JEAA3YR32P4SQOSHMQCN,https://requestersandbox.mturk.com/mturk/manageHITs
21,21,3R16PJFTS3Y5ECK5RR6T4S91Y44K47,https://workersandbox.mturk.com/mturk/preview?groupId=3EPQ0AEIVAQZLEEIR1ZQTS24B35H8C,https://requestersandbox.mturk.com/mturk/manageHITs
22,22,3T6EIBTM9LVE4OR0O13VNHS5L26AAT,https://workersandbox.mturk.com/mturk/preview?groupId=3KIFW8VYC9WA0TADDQR5T3UW500PBO,https://requestersandbox.mturk.com/mturk/manageHITs
23,23,3EHIMLB7F76FVN6ZX9T98C9E89WH87,https://workersandbox.mturk.com/mturk/preview?groupId=3VQ3WJ3HVN3E2YR6RKRUYM4EVL9MIY,https://requestersandbox.mturk.com/mturk/manageHITs
24,24,3TD33TP5DL9JNYWSUF3RISCB3KRABO,https://workersandbox.mturk.com/mturk/preview?groupId=3R70E4E2CN1TAY2JRQN04N0ENL0PCV,https://requestersandbox.mturk.com/mturk/manageHITs
25,25,3909MD9T2ZOCQSPKFMR9X1TN3XHFE6,https://workersandbox.mturk.com/mturk/preview?groupId=3EYXOXDEN7NAWGAVOR2OIPFNN4GJZO,https://requestersandbox.mturk.com/mturk/manageHITs
26,26,3RWSQDNYL9T4W6PGAXBFFJENFYWFFO,https://workersandbox.mturk.com/mturk/preview?groupId=3XMLB3JQD6F85FAN2IP8D5CEKMXK0W,https://requestersandbox.mturk.com/mturk/manageHITs
27,27,3JTPR5MTZSJNAVO55WP39KFFY0ZK5C,https://workersandbox.mturk.com/mturk/preview?groupId=30WQ7ZZ0RTUZZJXSWT54TOXFV9NH91,https://requestersandbox.mturk.com/mturk/manageHITs
28,28,302OLP89DZE2X3OY8FZMTCITL5RACV,https://workersandbox.mturk.com/mturk/preview?groupId=3GSIANI2QSK3FQ8XRMIBOTIW8LCPDV,https://requestersandbox.mturk.com/mturk/manageHITs
29,29,3NFWQRSHVELAA6LBLHHXX4EZGDWFGN,https://workersandbox.mturk.com/mturk/preview?groupId=3W850VB9FSM8C4V5Y1T8RAVOPE3K1Z,https://requestersandbox.mturk.com/mturk/manageHITs
30,30,3YKP7CX6G2M14WYUNCR781AL2CL7BU,https://workersandbox.mturk.com/mturk/preview?groupId=3M6I6ITMWA2OF29CRZX0OY86DHYQDN,https://requestersandbox.mturk.com/mturk/manageHITs
31,31,359AP8GAGGRKE1Q01CN2JLG3KXL7C1,https://workersandbox.mturk.com/mturk/preview?groupId=37OEPMT01TCT78NCNU8KUGQRDTZQEG,https://requestersandbox.mturk.com/mturk/manageHITs
32,32,3W3RSPVVGSYFFGW2RX9CWWKAMHXLUY,https://workersandbox.mturk.com/mturk/preview?groupId=3TGL8109GQXP4SONWNMT770363IT9N,https://requestersandbox.mturk.com/mturk/manageHITs
33,33,37NXA7GVSTDFSVL2WNJHSIMT0O6LVN,https://workersandbox.mturk.com/mturk/preview?groupId=30GSXMI5ZUX39BYSOT0T32BNCL0TA2,https://requestersandbox.mturk.com/mturk/manageHITs
34,34,3BCRDCM0OD1JTZOJAFZ81QTFUVAK6S,https://workersandbox.mturk.com/mturk/preview?groupId=37WXWKHWAXUD427XOZJ4PJ8Z1R5HAG,https://requestersandbox.mturk.com/mturk/manageHITs
