,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3EKTG13IZUAW28RTIVIQ5M3G8UIMLS,https://workersandbox.mturk.com/mturk/preview?groupId=3IYH2PD9C9QIFTHQ0HS6K0Z6PSCIT0,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3E22YV8GG1DSBBRRMOQXZI10IUTPNT,https://workersandbox.mturk.com/mturk/preview?groupId=3JUYWRRWV2W3C5WKB75JK4D185IND2,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3YLTXLH3DFD01F5GJQVKUY44WIKHPC,https://workersandbox.mturk.com/mturk/preview?groupId=3HMUMBDHXC3X4ZC2W8OVOSPVRZ8PQ5,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,3AC6MFV69KPUFJ7M6ZTMLW6I6HRHZX,https://workersandbox.mturk.com/mturk/preview?groupId=3RDWCCLNIF0AWF4UDCIQTX0IB67PTJ,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3W9XHF7WGK2PVXZV6S71C0LTD29KTO,https://workersandbox.mturk.com/mturk/preview?groupId=3S0VMPP5OFFG25GY5UEFMJZPUSPKXW,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3SCKNODZ0XN355NRQ2WGZWAFI0NN7K,https://workersandbox.mturk.com/mturk/preview?groupId=3JH21YRKZ6JDUV45KXPWCQC15W4J01,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3INZSNUD80XYXCK7G5GXHNPRZM9D94,https://workersandbox.mturk.com/mturk/preview?groupId=3M6I6ITMWA2OF29CRZX0OY86DG5DQF,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,3XDSWAMB22ZUKJVFXBW8JCXYOM1QC3,https://workersandbox.mturk.com/mturk/preview?groupId=3OXT046PA8EMAHKCOO373HL6HEKNLI,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,3GVPRXWRPH1BR4C0TMJOUOEYW1TI7Z,https://workersandbox.mturk.com/mturk/preview?groupId=3NZ7FAG0NZX6IRDTJ478FL1ZW2TPZZ,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,3G5RUKN2ECA7JOBK5ZU0DS1LDQBN9W,https://workersandbox.mturk.com/mturk/preview?groupId=3I3MQQJ31SQD1KPNGGTWQVVBAOAJ14,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,3XUSYT70IT8G1IWUG9X4OCOYWIFD0S,https://workersandbox.mturk.com/mturk/preview?groupId=3QF1Y7D04W1DO5TZZUP47C9C3AIDLQ,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3WGCNLZJKFFG87HCCS142H781ALD1V,https://workersandbox.mturk.com/mturk/preview?groupId=39P6QDR00RCXUNBKZ6QJ7PO13F8DMS,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3TL87MO8CMWQWYZCW8EDAWJ7BT6FLE,https://workersandbox.mturk.com/mturk/preview?groupId=3OZM3XU59524NGHEA71IZUG448KGBG,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3XUY87HIVPLG8Q9EI7J55ZI58Z8MMU,https://workersandbox.mturk.com/mturk/preview?groupId=3D9187VUCLRXF6WF0MIGPWL886JIUR,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3CVDZS288H7A2GHXWKFSA9YWBYWFMG,https://workersandbox.mturk.com/mturk/preview?groupId=3VO7LTD99J7NXL9KO7XDAEMMMTKGCN,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,3RIHDBQ1NE5UGC83RA3SDUA9RD9HMG,https://workersandbox.mturk.com/mturk/preview?groupId=3UL1O09SX9QOOJRWYLYJNWYY9RS90W,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,37ZQELHEQ05MQ8UEU8Y5IE75DPIMNU,https://workersandbox.mturk.com/mturk/preview?groupId=3OT7QPGUOM6XSLLF5CSLLINRMDSIVG,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,31N9JPQXIPP0YUT33BISQ9Z9W3JHNG,https://workersandbox.mturk.com/mturk/preview?groupId=3B8UQG2XRULC4NBNWV96ONZLM3MPPE,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,3HEM8MA6H9JDE84J2GIE3CW5N5GPQG,https://workersandbox.mturk.com/mturk/preview?groupId=34CUFVRA0L684BAK72G3QMVM8HJNEV,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,366FYU4PTGWN6EHYGXI6DELSASMKEY,https://workersandbox.mturk.com/mturk/preview?groupId=30MUBYSPBNA86OUZBK8SNBIXFDNKSO,https://requestersandbox.mturk.com/mturk/manageHITs
20,20,3RSBJ6YZECXY2J2990U52DN16YBFOV,https://workersandbox.mturk.com/mturk/preview?groupId=3K9PHCH9NOQX2DFYO3SOUK447TWGDN,https://requestersandbox.mturk.com/mturk/manageHITs
21,21,32PT7WK7DMMCIAVRZWFNQAM5ZUZD3N,https://workersandbox.mturk.com/mturk/preview?groupId=3JUYWRRWV2W3C5WKB75JK4D185IDNS,https://requestersandbox.mturk.com/mturk/manageHITs
22,22,3KL228NDMVTLQSDPMS8UDH64N81KGF,https://workersandbox.mturk.com/mturk/preview?groupId=3WH5V4A7WNM9LO7E0KDIXGEJHW1KTD,https://requestersandbox.mturk.com/mturk/manageHITs
23,23,3ABAOCJ4R8B7T576A0QMM82AI05MQH,https://workersandbox.mturk.com/mturk/preview?groupId=38ZP8AG6P16A7ALKVMXH7K65TMUIWQ,https://requestersandbox.mturk.com/mturk/manageHITs
24,24,3OB6JN3A9QW756M6NFFMRYCFEM7MRI,https://workersandbox.mturk.com/mturk/preview?groupId=3EH7TAS741JPWAQA5RT393KC2O0IXJ,https://requestersandbox.mturk.com/mturk/manageHITs
