,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3B9J25CZ25K6XZASPFLDECCZ6LACSO,https://workersandbox.mturk.com/mturk/preview?groupId=370WPY2B8VOF6DR265JSU3N0CY1L3A,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,35F6NGNVM8Q10ISBNYIS8VG77TX7TF,https://workersandbox.mturk.com/mturk/preview?groupId=387FCO53R6T5NDPYJDYBFVOJ5MLIQW,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3EHVO81VN5SXKNMEYOKUT2M6TD2H1I,https://workersandbox.mturk.com/mturk/preview?groupId=32SAKJ4DTQFGKA5TDYRAUL7EU9SDVJ,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,37NXA7GVSTDFSVL2WNJHSIMTZYILVI,https://workersandbox.mturk.com/mturk/preview?groupId=3DBJM5HJP5IRC0VGF6D92XZ6H0C9PD,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3MD8CKRQZZUH4YGLKI2UB6KYA30JRL,https://workersandbox.mturk.com/mturk/preview?groupId=3WROYBU7BL0KL1ZTMHW54TJP92CCDJ,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3P888QFVX31VT8SING5ZECRFDB8OQ8,https://workersandbox.mturk.com/mturk/preview?groupId=3EKS5N8MHTNE15QP69HO6O0NAP6IZQ,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3OZ4VAIBEXM9X5X2T274C391V9DJVE,https://workersandbox.mturk.com/mturk/preview?groupId=3VO7LTD99J7NXL9KO7XDAEMMMUSCGT,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,385MDVINFCMMCUX7JCC0Y5SF2IFJWO,https://workersandbox.mturk.com/mturk/preview?groupId=3ES7ZYWJEBD1XH4V8DFVVEYN1U5CHS,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,3EN4YVUOUCZ11U2XTH8M0O6MBKLJXH,https://workersandbox.mturk.com/mturk/preview?groupId=3ISL4H6O6HR1TCFFEVXGVQZ217KCIL,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,36D1BWBEHN8Q1M5L8P0LQQ4725FM2D,https://workersandbox.mturk.com/mturk/preview?groupId=3JHTEM36TIDHW9SHRSR4UR72AXF9W8,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,3B286OTISEOP5HU4I7G8GGVOAZCAJ4,https://workersandbox.mturk.com/mturk/preview?groupId=34A9VSEXPD8VQPSIKT8P51DU8169JD,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3P7RGTLO6EKKG10M0SGKHVV1POCAK3,https://workersandbox.mturk.com/mturk/preview?groupId=3IFS5X633D4Q19Y02E816GD7NQ69KC,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3R868ACW4SJGFNCBMTB40WUHRS2GZ7,https://workersandbox.mturk.com/mturk/preview?groupId=3WXKWJ1SHDZ17I1483RVT3JTXOCDT3,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3CMV9YRYP38610L8FY5YPUBZ4BBJLV,https://workersandbox.mturk.com/mturk/preview?groupId=35HI3XJLWJB44SYJV4TJ419TNR9C7Q,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3UQ1LLR26AFV07I4LSSLWV8GEOHAL6,https://workersandbox.mturk.com/mturk/preview?groupId=3NY2APCH39Z1LFGINEK2LGQMCQB9LF,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,3FVBZG9CLJLXDY1W25GUFX3WOLWH0F,https://workersandbox.mturk.com/mturk/preview?groupId=3R8421JDHP0G7VGT88H5YZ5VG2JDUU,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,3D06DR5225QF6P0PL4T0W8N5ET7AM8,https://workersandbox.mturk.com/mturk/preview?groupId=36872VQHZ4ALRXY3NQLHLT5BCV19MH,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,3N5YJ55YXGALO7LPX5809NC5JJHAN8,https://workersandbox.mturk.com/mturk/preview?groupId=3GDZ89QDUFUR9FJ3ZR0HY8UBHLB9NH,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,374UMBUHN5W7CZN7EFQ3OH8L84OCTD,https://workersandbox.mturk.com/mturk/preview?groupId=3WSO80OI82D0O9A66JOB48F6QYXL4V,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,3DTJ4WT8BDMIV9GKGYLG0T95ECNEZO,https://workersandbox.mturk.com/mturk/preview?groupId=3OSXIFYM55OZ46CM4T1M4JWYMR7GAV,https://requestersandbox.mturk.com/mturk/manageHITs
