HIT,HIT_id,HIT_website_address,HIT_results_address,HIT_status,submitted_assignments,Worker_id,Assignment_id,Accept_time,Submit_time,Full_response,worker_ip,isBot,assignment_status,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,passed_negative_attention,passed_positive_attention_easy,score_all,score_gs_more_than1,score_gs_less_than1,correct_questions,incorrect_questions
0,3EKTG13IZUAW28RTIVIQ5M3G8UIMLS,https://workersandbox.mturk.com/mturk/preview?groupId=3IYH2PD9C9QIFTHQ0HS6K0Z6PSCIT0,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,AJ5KHXJBE5KF6,3OLF68YTNA9CNZ62PJUPQ2ZC5DPFA0,2023-09-04 10:53:23-07:00,2023-09-04 11:01:43-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q11"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q12"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""83.45.43.221-false""}]",83.45.43.221,false,Approved,2,-2,0,3,-3,1,0,1,0,2,1,-2,Y,Y,66.66666666666666,71.42857142857143,33.33333333333333,"q2,q4,q5,q6,q7,q8,q10,q12","q1,q3,q9,q11"
0,3EKTG13IZUAW28RTIVIQ5M3G8UIMLS,https://workersandbox.mturk.com/mturk/preview?groupId=3IYH2PD9C9QIFTHQ0HS6K0Z6PSCIT0,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,A3ZWXGMPH8BRL,3PM8NZGV8ZOLA144E9XXM9EOD0GQXI,2023-09-08 14:27:47-07:00,2023-09-08 14:33:45-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q11"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q12"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""198.137.18.5-true""}]",198.137.18.5,true,Approved,3,2,1,3,-3,-2,2,-2,-3,3,3,-2,N,Y,33.33333333333333,42.857142857142854,0.0,"q4,q5,q10,q12","q1,q2,q3,q6,q7,q8,q9,q11"
0,3EKTG13IZUAW28RTIVIQ5M3G8UIMLS,https://workersandbox.mturk.com/mturk/preview?groupId=3IYH2PD9C9QIFTHQ0HS6K0Z6PSCIT0,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,A2OX31BMEIQY3D,3WSELTNVR4AM64O3K3ZE76EDWNQTAH,2023-09-22 12:14:36-07:00,2023-09-22 12:17:08-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q11"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q12"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""152.58.233.13-false""}]",152.58.233.13,false,Submitted,-3,-3,-3,3,-2,2,-2,2,3,-2,-3,-2,N,Y,83.33333333333334,85.71428571428571,100.0,"q1,q2,q3,q4,q5,q6,q8,q9,q11,q12","q7,q10"
1,3E22YV8GG1DSBBRRMOQXZI10IUTPNT,https://workersandbox.mturk.com/mturk/preview?groupId=3JUYWRRWV2W3C5WKB75JK4D185IND2,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,A1Q3R8C9O51ZEQ,3WR9XG3T64JK6HBFYZMMP70VFF3473,2023-08-30 07:51:59-07:00,2023-08-30 07:57:21-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q4"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false}}]",,,Approved,0,0,2,-1,0,0,-1,0,1,1,,,Y,Y,70.0,33.33333333333333,80.0,"q1,q2,q4,q5,q6,q7,q8","q3,q9,q10"
1,3E22YV8GG1DSBBRRMOQXZI10IUTPNT,https://workersandbox.mturk.com/mturk/preview?groupId=3JUYWRRWV2W3C5WKB75JK4D185IND2,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,A3I9VINOFBQ4M5,37KGEN7NJ4YV1G1YS58RSR2B65PPP6,2023-09-12 19:17:03-07:00,2023-09-12 19:22:30-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""128.61.99.19-false""}]",128.61.99.19,false,Approved,-3,-1,-3,-3,-3,2,2,2,1,1,,,N,N,20.0,66.66666666666666,0.0,"q3,q4","q1,q2,q5,q6,q7,q8,q9,q10"
1,3E22YV8GG1DSBBRRMOQXZI10IUTPNT,https://workersandbox.mturk.com/mturk/preview?groupId=3JUYWRRWV2W3C5WKB75JK4D185IND2,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,3,A2OX31BMEIQY3D,3DY46V3X3QQNFW1WOBQZWFSDO6355W,2023-09-22 09:50:30-07:00,2023-09-22 09:57:14-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""152.58.233.13-false""}]",152.58.233.13,false,Submitted,-3,-3,3,-3,3,-3,-3,0,3,-3,,,Y,Y,40.0,66.66666666666666,0.0,"q4,q7,q8,q10","q1,q2,q3,q5,q6,q9"
3,3AC6MFV69KPUFJ7M6ZTMLW6I6HRHZX,https://workersandbox.mturk.com/mturk/preview?groupId=3RDWCCLNIF0AWF4UDCIQTX0IB67PTJ,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,1,A2OX31BMEIQY3D,39OWYR0EPLZDJH455P85TOHJ85LFY5,2023-09-22 10:30:49-07:00,2023-09-22 10:34:09-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""152.58.233.13-false""}]",152.58.233.13,false,Submitted,3,-3,3,-3,3,-3,-3,-3,3,3,,,N,N,50.0,71.42857142857143,0.0,"q1,q3,q6,q8,q9","q2,q4,q5,q7,q10"
7,3XDSWAMB22ZUKJVFXBW8JCXYOM1QC3,https://workersandbox.mturk.com/mturk/preview?groupId=3OXT046PA8EMAHKCOO373HL6HEKNLI,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,1,A2OX31BMEIQY3D,3G5F9DBFOQ5GTJ06V49LPAP263WHVW,2023-09-22 10:35:55-07:00,2023-09-22 10:39:29-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""152.58.233.13-false""}]",152.58.233.13,false,Submitted,-3,-3,-3,-3,3,-3,3,3,3,-3,,,N,N,10.0,33.33333333333333,0.0,q1,"q2,q3,q4,q5,q6,q7,q8,q9,q10"
9,3G5RUKN2ECA7JOBK5ZU0DS1LDQBN9W,https://workersandbox.mturk.com/mturk/preview?groupId=3I3MQQJ31SQD1KPNGGTWQVVBAOAJ14,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,1,A18IX2EDDTV8RB,36NEMU28XGLF0M1MCBUU3HGCUYPMWC,2023-09-19 03:57:43-07:00,2023-09-19 03:59:53-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":true},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false}}]",,,Submitted,-3,-3,3,video not playing,0,-2,-1,-2,2,-2,,,,Y,40.0,33.33333333333333,40.0,"q2,q5,q6,q10","q1,q3,q4,q7,q8,q9"
10,3XUSYT70IT8G1IWUG9X4OCOYWIFD0S,https://workersandbox.mturk.com/mturk/preview?groupId=3QF1Y7D04W1DO5TZZUP47C9C3AIDLQ,https://requestersandbox.mturk.com/mturk/manageHITs,Reviewable,1,A2OX31BMEIQY3D,3VW04L3ZLUE5JY5G0NSPGHAHA4NXX8,2023-09-22 12:19:35-07:00,2023-09-22 12:21:28-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""152.58.233.13-false""}]",152.58.233.13,false,Submitted,-3,3,-3,3,2,3,-3,3,-3,-3,,,N,Y,30.0,50.0,0.0,"q6,q9,q10","q1,q2,q3,q4,q5,q7,q8"
