,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3W3RSPVVGSYFFGW2RX9CWWKALRJLU3,https://workersandbox.mturk.com/mturk/preview?groupId=33MMW7ZS0AYA9J9YIKXUUKEDDOHQV1,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3NSM4HLQNR1YEK5Y2TX33HMFSC0QQS,https://workersandbox.mturk.com/mturk/preview?groupId=3BH55VSCCHMEEI7FIDMLW78KW19JBX,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3IQ9O0AYW66YP2976PMPZK6GL9ITI6,https://workersandbox.mturk.com/mturk/preview?groupId=38MPDVA2YPJ067LB1WRRDARYG8WGMF,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,36FFXPMST9VIGFTF4QI55YZEMOMOHM,https://workersandbox.mturk.com/mturk/preview?groupId=3U729HRE5AM2MTPKV113D76M3SHEMW,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3OYHVNTV5T59I5UNABL2IQF6E5QOKQ,https://workersandbox.mturk.com/mturk/preview?groupId=3940TVN5B5CQMWAW8HGG5BVRYSWEOB,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,31HLTCK4BL2Z6371LWM1FQHL3H6VGW,https://workersandbox.mturk.com/mturk/preview?groupId=3554GQY3BJ5JQUCHWKKT2BVC4E0LS2,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3U74KRR67MSQ33KY35ZH4S2X78CTNM,https://workersandbox.mturk.com/mturk/preview?groupId=3L31T0COU89RRMJ3TPY8UJB3Q9TGQ2,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,3D7VY91L654KPZ5HRITWRJ7BWB2MBP,https://workersandbox.mturk.com/mturk/preview?groupId=34PM2WU5W9LQTWL0K4VY3NA5O0IRA2,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,32ZCLEW0BZRWSL067QY56BKJ9LMJP3,https://workersandbox.mturk.com/mturk/preview?groupId=3Z1ME8JRSHJBPYQICQALFNVODGJOCS,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,3KLL7H3EGD8D6Z2C524J0QTMIHJVHV,https://workersandbox.mturk.com/mturk/preview?groupId=310F0WGLWJHK5UPWLKPJCGRY6XELTR,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,3Z3R5YC0P3UEFB7H5HG4WNTO5HQTFF,https://workersandbox.mturk.com/mturk/preview?groupId=36OR6SYIOYHA5ZFQYZEZXIZHCE1GJB,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3S1WOPCJFG0SVUBGYCIUCZLFVEKJEI,https://workersandbox.mturk.com/mturk/preview?groupId=357Z1IC2ALPNCYUZJXZKMKRU736O3U,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3AXFSPQOYQ5K18BCTN20UH6F7FZJF0,https://workersandbox.mturk.com/mturk/preview?groupId=3UZRKKY9ASE8UUD3JB43WPJ0L32O4F,https://requestersandbox.mturk.com/mturk/manageHITs
