,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3ODOP6T3ASRAXWGF2L0P4WN7GO424S,https://workersandbox.mturk.com/mturk/preview?groupId=37R8JAFGQ0A7TF5ZW9DRRXWKZMTJDC,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,36BTXXLZ2VFR1GX0HBFQ54VFSGK4R9,https://workersandbox.mturk.com/mturk/preview?groupId=3RDTAMZS73ZB0JKFF3T0OR7WNCOGX7,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3QTFNPMJC6PMPFTX9XOZQG3ESEXZNR,https://workersandbox.mturk.com/mturk/preview?groupId=3QPQ7LAZER0QHV607P6YYX00SEOAQS,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,3DQYSJDTYLITQEG5FGXV38TU6MYXE3,https://workersandbox.mturk.com/mturk/preview?groupId=3I7X2GF4HI053JTEQA5QK9X91VGRHL,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3R5LWXWHR0FRASCWLBNJ3BE6J2DXGK,https://workersandbox.mturk.com/mturk/preview?groupId=3MLGQ9U1F2E1UPO4EA8BWMDOENKRJQ,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3TX9T2ZCB98CC92B1YFMMZG5LQ1ZWI,https://workersandbox.mturk.com/mturk/preview?groupId=3Z7ICGQCY9ISBFSTYC5B4XVS12ROTJ,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3FDWKV9VCN9ZLYENR9ARW9ZZL68UMX,https://workersandbox.mturk.com/mturk/preview?groupId=3ES1UQ6TFXUGSZZCCNO7Q2W6CPQMLZ,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,3SSN80MU8CVWCE8FB28Y136ZQJUXKN,https://workersandbox.mturk.com/mturk/preview?groupId=3YO63Q6HK40XDFFPT803PTU5N7PRNU,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,3MVY4USGB6UXA2WSHPHZPFAUJ03SIZ,https://workersandbox.mturk.com/mturk/preview?groupId=3Z2MMRQPGDSF7INCWBBQQ7QRVOFF8Z,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,3XBXDSS888Q7WKQXW2KZG3JEFJZXLQ,https://workersandbox.mturk.com/mturk/preview?groupId=33GCHQ2CVO6FV0F1UN0G4IUADHURO9,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,31YWE12TE0J8HZ1VS8JPXY1DKZUX7H,https://workersandbox.mturk.com/mturk/preview?groupId=3K9PHCH9NOQX2DFYO3SOUK447UCDG2,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3EQPA8A3743Q6P2CUZW7X9MXJUSZJN,https://workersandbox.mturk.com/mturk/preview?groupId=3D8ERG8DI8AZWG88FWZHHOGVIDRAM5,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3CIS7GGG65Q19AMAABM8J1UQC4HUE8,https://workersandbox.mturk.com/mturk/preview?groupId=3C3LDH5JOKRUS7PGQCL9VPRMFT4MFU,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3B623HUYJ4X4LWKF8358CQGGG4YS8R,https://workersandbox.mturk.com/mturk/preview?groupId=3Z2ZOEGDOBEXWI3RXQ2BBX3JHI9F1F,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3SV8KD29L4ZLH98UCKWJYOMAYJSZKM,https://workersandbox.mturk.com/mturk/preview?groupId=3ND6XU89DJU5EYT8RXEHU35VN31AN5,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,3UEBBGULPFVTFOM65M6E1JFQO5WUFQ,https://workersandbox.mturk.com/mturk/preview?groupId=38MPDVA2YPJ067LB1WRRDARYG84MGT,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,33K3E8REWW2CHD6E2DBVBYX8VJ0X84,https://workersandbox.mturk.com/mturk/preview?groupId=33DPVH0JSGWB29A989A6FKG5MUPDH1,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,3XEIP58NL0UW1FQCXK8KDOZPNJXZLP,https://workersandbox.mturk.com/mturk/preview?groupId=3S5CBU44O30NWJTKSCEU9S50DD6AOK,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,3XD2A6FGFN14Z13PDVBMCMBR0AGS9G,https://workersandbox.mturk.com/mturk/preview?groupId=3LMOG6ZFAIE4L3LNGU2PGGDO9ONF2W,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,3GONHBMNHV5G7X8XXW9ZD1EENONZMR,https://workersandbox.mturk.com/mturk/preview?groupId=3KBQBQZF89I5HJ5L7CR9YSAQNI2AP1,https://requestersandbox.mturk.com/mturk/manageHITs
20,20,3VLL1PIENQV470T9ACOC553JIO2ZO6,https://workersandbox.mturk.com/mturk/preview?groupId=34PM2WU5W9LQTWL0K4VY3NA5O0QART,https://requestersandbox.mturk.com/mturk/manageHITs
21,21,3WRAAIUSBJ6Q01ZTZBV97P33L70XA8,https://workersandbox.mturk.com/mturk/preview?groupId=37D300AOKMABY4LTERSRFWHKM74DIU,https://requestersandbox.mturk.com/mturk/manageHITs
22,22,322ZSN9Z5GR4HVASL0KL5JWXG1H4TM,https://workersandbox.mturk.com/mturk/preview?groupId=3RGEMZF7KV305EKUGLHLLCN7VCMGZ4,https://requestersandbox.mturk.com/mturk/manageHITs
23,23,33NKDW9FFXPETGWRJPR0DKTRLALXCA,https://workersandbox.mturk.com/mturk/preview?groupId=37R8JAFGQ0A7TF5ZW9DRRXWKZMTDJ6,https://requestersandbox.mturk.com/mturk/manageHITs
24,24,38O9DZ0A62UOCJKTL9T41U7LCFA26D,https://workersandbox.mturk.com/mturk/preview?groupId=3A5N6ETZETP4RZJVNF8HFXZ5BZ9JFN,https://requestersandbox.mturk.com/mturk/manageHITs
25,25,3S829FDFT28OY825JLMBXQB96AXXDA,https://workersandbox.mturk.com/mturk/preview?groupId=3LWRTF7M40624ZBHEUD3SCWXEBTDK5,https://requestersandbox.mturk.com/mturk/manageHITs
26,26,3RQVKZ7ZRKQ7GJYY4JYW787H7QU27C,https://workersandbox.mturk.com/mturk/preview?groupId=36OR6SYIOYHA5ZFQYZEZXIZHCE9JGM,https://requestersandbox.mturk.com/mturk/manageHITs
27,27,3NRZ1LDP7WDMS05APC1RU589STYZPN,https://workersandbox.mturk.com/mturk/preview?groupId=34LHDG0NEUL2UBLDZTV3TXF1A29ASH,https://requestersandbox.mturk.com/mturk/manageHITs
