,HIT,HIT_id,HIT_website_address,HIT_results_address
0,0,3OID399FXGE7YMBKJRGPRJB21GPDF8,https://workersandbox.mturk.com/mturk/preview?groupId=3HFGFN16MW96ZOF44Y2FZL1EXYUTEP,https://requestersandbox.mturk.com/mturk/manageHITs
1,1,3PEG1BH7AEYPZB5E66GGC6F76RUKBA,https://workersandbox.mturk.com/mturk/preview?groupId=345I66BV1TD6JKEA4FHE7J5QHX0MP2,https://requestersandbox.mturk.com/mturk/manageHITs
2,2,3IH9TRB0FB6XGIXY462FTENLSBEI1E,https://workersandbox.mturk.com/mturk/preview?groupId=39ZZP62BQXSJNBAP5GG7LDQHIPJVZD,https://requestersandbox.mturk.com/mturk/manageHITs
3,3,33K3E8REWW2CHD6E2DBVBYX8UUO8XO,https://workersandbox.mturk.com/mturk/preview?groupId=3RDWCCLNIF0AWF4UDCIQTX0IB5WPT6,https://requestersandbox.mturk.com/mturk/manageHITs
4,4,3VMHWJRYHVNLWSG1ARH1LQEUHY1FXC,https://workersandbox.mturk.com/mturk/preview?groupId=3GUTVN2B1HOJ56BK444JBKFWYO6YU0,https://requestersandbox.mturk.com/mturk/manageHITs
5,5,3L84EBDQ379QSE98CJT9B9YXTL3KKU,https://workersandbox.mturk.com/mturk/preview?groupId=3GTAJN9JK6LBSTG1Q6RV1WRTJW9MXQ,https://requestersandbox.mturk.com/mturk/manageHITs
6,6,3WUVMVA7OBAF5WZ80TJU4AJESIMAZR,https://workersandbox.mturk.com/mturk/preview?groupId=362C90YY6R4A85ZYQ9CP3OMZV1RRUR,https://requestersandbox.mturk.com/mturk/manageHITs
7,7,3MYASTQBG7I4PB1TX7RJ3IFG8IYDQ2,https://workersandbox.mturk.com/mturk/preview?groupId=3KAKS2ULSES4BC7HLWQYCT6N60LTME,https://requestersandbox.mturk.com/mturk/manageHITs
8,8,30Y6N4AHYP341CGTAMGJ88PL440DR3,https://workersandbox.mturk.com/mturk/preview?groupId=3UFCYGUHNPCATUSHXX5YP8VNBQVTNE,https://requestersandbox.mturk.com/mturk/manageHITs
9,9,34OWYT6U3WOF5N0T8JH88K54QN2I9N,https://workersandbox.mturk.com/mturk/preview?groupId=3CM00QMEULUUEQQJTLOSAHG0KUOW6X,https://requestersandbox.mturk.com/mturk/manageHITs
10,10,3SX4X51T80G36SL1YK8DOCCA8EJAOP,https://workersandbox.mturk.com/mturk/preview?groupId=30QZ0EM7T2AW59UMWV8NX1D1TATRKU,https://requestersandbox.mturk.com/mturk/manageHITs
11,11,3K1H3NEY7L6DCM7FUBM794BE2VPDG7,https://workersandbox.mturk.com/mturk/preview?groupId=3ZBZJNFB56EY52F0Z9MLH3ME9Z9TF7,https://requestersandbox.mturk.com/mturk/manageHITs
12,12,3W31J70BAS389GXKK6CBNQLPOCUKCH,https://workersandbox.mturk.com/mturk/preview?groupId=3AJI21MF7BVRJWFP4SW37OV0MTMMQT,https://requestersandbox.mturk.com/mturk/manageHITs
13,13,3K3IX1W4S6YLRSX2DKLSDCH0IJFAP6,https://workersandbox.mturk.com/mturk/preview?groupId=359956SLTY57PFC4HVKOC1QGIAYRLX,https://requestersandbox.mturk.com/mturk/manageHITs
14,14,3SR6AEG6W50UATXHADR37PXGZJ8HYI,https://workersandbox.mturk.com/mturk/preview?groupId=39WEDTMWD5OUIGAA4YSMOSA6APLVXG,https://requestersandbox.mturk.com/mturk/manageHITs
15,15,3B623HUYJ4X4LWKF8358CQGGFFM8SG,https://workersandbox.mturk.com/mturk/preview?groupId=3HMUMBDHXC3X4ZC2W8OVOSPVRYXPQS,https://requestersandbox.mturk.com/mturk/manageHITs
16,16,335HHSX8CDCRCI2QEH4PU4NFHV2DH6,https://workersandbox.mturk.com/mturk/preview?groupId=3VU3J1KUFB64J2BVATS3ZOMQAE9TG6,https://requestersandbox.mturk.com/mturk/manageHITs
17,17,3QHITW7OYOG6R4YHDX0HDH7ANF1AQX,https://workersandbox.mturk.com/mturk/preview?groupId=3OJEXC6LPTGRVXUPH7L3CE55IFORMZ,https://requestersandbox.mturk.com/mturk/manageHITs
18,18,371DNNCG44950WXUX3AYMVC2HY08T5,https://workersandbox.mturk.com/mturk/preview?groupId=3VMQHMXNFUOXG0R29NDVTIZ0NKZPRT,https://requestersandbox.mturk.com/mturk/manageHITs
19,19,3AC6MFV69KPUFJ7M6ZTMLW6I5DCHZ9,https://workersandbox.mturk.com/mturk/preview?groupId=3REZD5NBDI3JIL0K9UEO76HFCVFVYM,https://requestersandbox.mturk.com/mturk/manageHITs
20,20,3LOJFQ4BOXMIE83YK27M7W379C6KDH,https://workersandbox.mturk.com/mturk/preview?groupId=3OJEXC6LPTGRVXUPH7L3CE55IFOMRU,https://requestersandbox.mturk.com/mturk/manageHITs
21,21,366FYU4PTGWN6EHYGXI6DELS9O7KEA,https://workersandbox.mturk.com/mturk/preview?groupId=3OF98WC37EG3WCU2WWL82OA14H7MSI,https://requestersandbox.mturk.com/mturk/manageHITs
22,22,34HEO7RUG61635DHQCPHI7HFJ13ARY,https://workersandbox.mturk.com/mturk/preview?groupId=3YO63Q6HK40XDFFPT803PTU5N5YRNZ,https://requestersandbox.mturk.com/mturk/manageHITs
23,23,3DW3BNF1GHPKDO1J2YADND0NEJG8VL,https://workersandbox.mturk.com/mturk/preview?groupId=3VILS635XFO9HFRFOCD0JS4W9MIPSH,https://requestersandbox.mturk.com/mturk/manageHITs
24,24,34D9ZRXCYR1I4KDU51PM8HMB53MASM,https://workersandbox.mturk.com/mturk/preview?groupId=33GCHQ2CVO6FV0F1UN0G4IUADF3ROE,https://requestersandbox.mturk.com/mturk/manageHITs
25,25,308KJXFUJRDJJKQ9U1UCIMIX7M0ATB,https://workersandbox.mturk.com/mturk/preview?groupId=3VMQHMXNFUOXG0R29NDVTIZ0NKZRPV,https://requestersandbox.mturk.com/mturk/manageHITs
26,26,3O2Y2UIUCQ1FCSHUB82CVW6SLPMKFS,https://workersandbox.mturk.com/mturk/preview?groupId=3KAKS2ULSES4BC7HLWQYCT6N60LMT7,https://requestersandbox.mturk.com/mturk/manageHITs
27,27,3Z3R5YC0P3UEFB7H5HG4WNTO42DFTT,https://workersandbox.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30A9E69SCRP2YRW,https://requestersandbox.mturk.com/mturk/manageHITs
28,28,37J05LC5AXQN3OXG2H7A6H3UUN6DJB,https://workersandbox.mturk.com/mturk/preview?groupId=3EY3X634K3CIJY66UZALKOYRPEMTH5,https://requestersandbox.mturk.com/mturk/manageHITs
29,29,3KL228NDMVTLQSDPMS8UDH64M4MKGR,https://workersandbox.mturk.com/mturk/preview?groupId=3FL4YKC6SQTJBPM6L1G8HPSPPESMUY,https://requestersandbox.mturk.com/mturk/manageHITs
30,30,341YLJU21I6453FUNA2TYXXQKHSI2V,https://workersandbox.mturk.com/mturk/preview?groupId=3YOMKSGT3BOZ0F44RW8B1G697R2W0W,https://requestersandbox.mturk.com/mturk/manageHITs
31,31,3LOJFQ4BOXMIE83YK27M7W379C6DKA,https://workersandbox.mturk.com/mturk/preview?groupId=3IYH2PD9C9QIFTHQ0HS6K0Z6PR1TIY,https://requestersandbox.mturk.com/mturk/manageHITs
32,32,3UEBBGULPFVTFOM65M6E1JFQNGKFUK,https://workersandbox.mturk.com/mturk/preview?groupId=3POY5Z28G5B3QTJGFZ9JWJX8DRLYSK,https://requestersandbox.mturk.com/mturk/manageHITs
33,33,33NOQL7T9O61M86T3VZG8JDJ2UM8ZL,https://workersandbox.mturk.com/mturk/preview?groupId=3MOGIU38IR1PWSJJDH80YTMKUJ3PUX,https://requestersandbox.mturk.com/mturk/manageHITs
34,34,3OQQD2WO8IDTQLBDRAGYH72IQVSI36,https://workersandbox.mturk.com/mturk/preview?groupId=3XA69K8C5XVZ74PMNFCBFLPJCJ8W1Z,https://requestersandbox.mturk.com/mturk/manageHITs
35,35,3UDTAB6HH664YSJD4TS22G584TL90J,https://workersandbox.mturk.com/mturk/preview?groupId=3X8M0CO8USGP978JI7I5UFO38QCPVM,https://requestersandbox.mturk.com/mturk/manageHITs
36,36,33P2GD6NRNZZQO806YQCYHI514ZKHQ,https://workersandbox.mturk.com/mturk/preview?groupId=3Q5AG2X64R8JO4B6QRQDDBU83L1MVN,https://requestersandbox.mturk.com/mturk/manageHITs
37,37,3DIIW4IV8P2E8HUHROLHRCUO4VOI4R,https://workersandbox.mturk.com/mturk/preview?groupId=3JUV1CRER4V6WP7I6JCPK4ZO4PMW2G,https://requestersandbox.mturk.com/mturk/manageHITs
38,38,3P4ZBJFX2VA67SBB0MLFJ70N8WVFWJ,https://workersandbox.mturk.com/mturk/preview?groupId=3LJ9P5KQ15N45TWV4ZE96OTUFAZYT9,https://requestersandbox.mturk.com/mturk/manageHITs
39,39,363A7XIFV4TYWCUYZWURJ46I47GAVR,https://workersandbox.mturk.com/mturk/preview?groupId=310QDH87LC6IGCSH90SKTNPASGLRQM,https://requestersandbox.mturk.com/mturk/manageHITs
40,40,37PGLWGSJTDZMJJKCG8XYTJK1HEKIJ,https://workersandbox.mturk.com/mturk/preview?groupId=3ABSYNXI568W3TBBG1V9ZDDMAU3MWX,https://requestersandbox.mturk.com/mturk/manageHITs
41,41,35A1YQPVFENW40YH5T4RW4024RJI5W,https://workersandbox.mturk.com/mturk/preview?groupId=33JNTVT0Y42VH731AJQU3E4GA3MW3R,https://requestersandbox.mturk.com/mturk/manageHITs
42,42,3Q9SPIIRWJTBB1U3P6ZN56PWBGIAW1,https://workersandbox.mturk.com/mturk/preview?groupId=3F0M8SSD3URISD7HMFHKYDZFO2NRRN,https://requestersandbox.mturk.com/mturk/manageHITs
43,43,3D42WVSDH82AWX6BFN3344L3J4VFYI,https://workersandbox.mturk.com/mturk/preview?groupId=3REZD5NBDI3JIL0K9UEO76HFCVFYVP,https://requestersandbox.mturk.com/mturk/manageHITs
44,44,3WRAAIUSBJ6Q01ZTZBV97P33KIOAXU,https://workersandbox.mturk.com/mturk/preview?groupId=3FWHJCYVLFRUTS7U14HPON4BA46RSB,https://requestersandbox.mturk.com/mturk/manageHITs
45,45,3XT3KXP24Z5SN4YVACEWOAE20MUI6C,https://workersandbox.mturk.com/mturk/preview?groupId=3SBFCXF7YBRGZ3M5AXVDDJWMO3IW4C,https://requestersandbox.mturk.com/mturk/manageHITs
46,46,3E9VAUV7BWLF06P347HBQ3ACMOIAY0,https://workersandbox.mturk.com/mturk/preview?groupId=3BRS3IGD6F3V8SK9Q4MFYS0XCNKRT0,https://requestersandbox.mturk.com/mturk/manageHITs
47,47,3VP28W7DUNRA1NGGB95MIBU5PYZFZ9,https://workersandbox.mturk.com/mturk/preview?groupId=3BKHVQNNEX3WXA0PZ4JKT80TJ4HYWZ,https://requestersandbox.mturk.com/mturk/manageHITs
48,48,3WRBLBQ2GRFJD26LIZYCUXRV86GG0H,https://workersandbox.mturk.com/mturk/preview?groupId=3H2ZGQZOTXGBMA5F99F6VRE0S6NYXS,https://requestersandbox.mturk.com/mturk/manageHITs
49,49,3IHWR4LC7DKFRIHJ3RBU8OAT6HKI8Y,https://workersandbox.mturk.com/mturk/preview?groupId=3K3YEJM750CYVMQ5O2ENIB20OZDW5H,https://requestersandbox.mturk.com/mturk/manageHITs
50,50,3JMQI2OLFZCJMEO1HFZ2ZOKB37BDNF,https://workersandbox.mturk.com/mturk/preview?groupId=3ICMLZI1INQEA41WIZD6W1E626QTJA,https://requestersandbox.mturk.com/mturk/manageHITs
51,51,3OEWW2KGQJI14ZODIUZFEDKGTHGDOU,https://workersandbox.mturk.com/mturk/preview?groupId=3WH5V4A7WNM9LO7E0KDIXGEJHVQTK9,https://requestersandbox.mturk.com/mturk/manageHITs
52,52,3GKAWYFRAP0JPZ0EXUCU3DP63MCDPB,https://workersandbox.mturk.com/mturk/preview?groupId=310F0WGLWJHK5UPWLKPJCGRY6VVTLC,https://requestersandbox.mturk.com/mturk/manageHITs
53,53,3Z8UJEJOCZK0FKIANGAL4E3F75593E,https://workersandbox.mturk.com/mturk/preview?groupId=3HE4IXOKV7G2OW8O8HN1GH7HFZEPWW,https://requestersandbox.mturk.com/mturk/manageHITs
