cow_L,cow_R,response,expert
6029,7138,-1,DW
5087,4008,-3,DW
6092,7114,0,DW
6053,6088,1,DW
4035,7060,-1,DW
7045,4026,1,DW
7109,6062,-1,DW
6086,5064,1,DW
6025,6088,2,DW
6096,7136,1,DW
8083,7060,-1,DW
7136,7060,-1,DW
6029,6062,1,DW
6095,6025,1,DW
6094,7114,-1,DW
6068,7163,-1,DW
8083,7109,1,DW
6029,8083,1,DW
6046,7153,0,DW
7138,6088,2,DW
6046,5064,0,DW
7045,7163,1,DW
7045,6062,1,DW
6068,7136,-1,DW
7138,7064,0,DW
5064,7163,0,DW
6046,6088,1,DW
6086,6053,1,DW
7138,6053,0,DW
4008,7060,-2,DW
6095,8083,-1,DW
7109,5118,0,DW
6029,7128,1,DW
7045,5118,1,DW
5087,4035,1,DW
7128,4035,2,DW
6062,6053,1,DW
8083,7163,-1,DW
4026,4008,1,DW
7128,6094,1,DW
6062,7114,-1,DW
7116,4035,1,DW
6086,7116,1,DW
7045,6025,0,DW
7138,4026,1,DW
6095,4026,1,DW
4026,6053,-1,DW
6068,6053,0,DW
6095,4008,1,DW
6068,7109,1,DW
7138,7114,0,DW
7045,6046,-1,DW
7128,6025,-1,DW
6053,5118,1,DW
6046,7128,1,DW
6062,7116,2,DW
6062,6096,1,DW
6096,4035,1,DW
5087,6062,-1,DW
6046,6025,1,DW
7114,6088,1,DW
7116,7136,-1,DW
7045,6088,1,DW
6068,8083,1,DW
6095,6088,1,DW
6094,7153,-1,DW
6086,4026,1,DW
6025,7114,-1,DW
7136,5118,-1,DW
6046,6029,0,DW
7138,6095,0,DW
5064,7109,1,DW
7138,6096,1,DW
6068,6029,0,DW
8083,6092,-1,DW
7064,7109,0,DW
6053,4008,1,DW
7128,7153,-1,DW
6046,6096,1,DW
4008,6088,1,DW
7138,8083,0,DW
6088,7163,-1,DW
5064,6053,0,DW
6029,6025,1,DW
6096,5064,-1,DW
6096,7163,-1,DW
7045,5064,0,DW
5064,4008,0,DW
7045,7109,1,DW
4035,7163,-1,DW
5087,6029,-1,DW
7136,7109,1,DW
6046,5118,0,DW
6029,7153,1,DW
6095,6086,-1,DW
7064,7163,-1,DW
6046,7116,1,DW
4008,7163,-1,DW
4035,6094,-1,DW
5118,7060,-1,DW
6095,6096,-1,DW
6046,6094,1,DW
4035,6053,-1,DW
7045,7114,0,DW
7064,6094,-1,DW
5087,6053,-1,DW
5087,6094,-2,DW
7064,6092,-1,DW
7138,6062,-1,DW
7136,7114,1,DW
5064,7114,0,DW
5087,6088,-2,DW
6025,6053,-1,DW
6068,7128,1,DW
5087,4026,0,DW
5064,7116,1,DW
7064,6062,0,DW
6096,6088,1,DW
6046,6068,1,DW
4008,6092,-1,DW
4026,7153,1,DW
7064,6025,1,DW
7128,7109,-1,DW
7116,8083,-1,DW
7136,4035,2,DW
4008,5118,-1,DW
6029,4035,1,DW
6025,7163,1,DW
6088,6092,-1,DW
6029,6092,0,DW
7128,6053,-1,DW
6086,7109,-1,DW
6096,6092,-1,DW
5087,6025,-1,DW
7138,5118,-1,DW
8083,6088,1,DW
6088,5118,-1,DW
6053,8083,0,DW
7064,4026,0,DW
6025,6092,0,DW
4026,6088,1,DW
