winner,loser,degree,expert
4008.0,5118.0,0.5,avg_D_W_N_S
6088.0,4008.0,1.0,avg_D_W_N_S
4008.0,6092.0,0.75,avg_D_W_N_S
4008.0,7060.0,1.25,avg_D_W_N_S
4008.0,7109.0,0.5,avg_D_W_N_S
4008.0,7114.0,0.75,avg_D_W_N_S
4008.0,7153.0,0.5,avg_D_W_N_S
4008.0,7163.0,0.25,avg_D_W_N_S
4008.0,4026.0,0.5,avg_D_W_N_S
4026.0,5118.0,0.5,avg_D_W_N_S
4026.0,6025.0,0.5,avg_D_W_N_S
4026.0,6053.0,0.0,avg_D_W_N_S
6088.0,4026.0,0.75,avg_D_W_N_S
4026.0,6092.0,0.75,avg_D_W_N_S
4026.0,6094.0,0.5,avg_D_W_N_S
4026.0,7060.0,0.75,avg_D_W_N_S
4026.0,7109.0,0.25,avg_D_W_N_S
4026.0,7114.0,0.25,avg_D_W_N_S
4026.0,7153.0,0.0,avg_D_W_N_S
4026.0,7163.0,0.5,avg_D_W_N_S
8083.0,4026.0,0.25,avg_D_W_N_S
4035.0,4008.0,1.25,avg_D_W_N_S
4035.0,4026.0,1.5,avg_D_W_N_S
4035.0,5118.0,1.5,avg_D_W_N_S
4035.0,6025.0,1.25,avg_D_W_N_S
4035.0,6053.0,1.75,avg_D_W_N_S
4035.0,6088.0,1.0,avg_D_W_N_S
4035.0,6092.0,1.25,avg_D_W_N_S
4035.0,6094.0,1.75,avg_D_W_N_S
4035.0,7060.0,1.75,avg_D_W_N_S
4035.0,7109.0,1.5,avg_D_W_N_S
4035.0,7114.0,1.25,avg_D_W_N_S
4035.0,7153.0,1.25,avg_D_W_N_S
4035.0,7163.0,1.25,avg_D_W_N_S
4035.0,8083.0,0.75,avg_D_W_N_S
4008.0,5064.0,0.5,avg_D_W_N_S
5064.0,4026.0,0.25,avg_D_W_N_S
4035.0,5064.0,1.75,avg_D_W_N_S
5064.0,5118.0,0.25,avg_D_W_N_S
6025.0,5064.0,0.5,avg_D_W_N_S
6053.0,5064.0,0.25,avg_D_W_N_S
6088.0,5064.0,0.75,avg_D_W_N_S
5064.0,6092.0,0.0,avg_D_W_N_S
