HIT,HIT_id,HIT_website_address,HIT_results_address
1,3D1TUISJWI7DPFOW6UG9YXCH2EVIU6,https://www.mturk.com/mturk/preview?groupId=3D4ORZ804IVMSFPHX6BOM0Q4UTRV1X,https://requester.mturk.com/mturk/manageHITs
10,3B0MCRZMBR1SEW34237ZXOQUGBYPPT,https://www.mturk.com/mturk/preview?groupId=3TNRXJHW8KGXIR1DPTGX1RCK1SQ2CN,https://requester.mturk.com/mturk/manageHITs
11,3HEM8MA6H9JDE84J2GMOXTG4L7KPQK,https://www.mturk.com/mturk/preview?groupId=3I89T2LWMPZ7NJ7RPPB8LXU2MS22DN,https://requester.mturk.com/mturk/manageHITs
12,3OYHVNTV5T59I5UNABPCC7Z5CWWKO6,https://www.mturk.com/mturk/preview?groupId=37D36GBQBZ0RU4T8WXF6DXLDM2RRZP,https://requester.mturk.com/mturk/manageHITs
13,372AGES0I4CIZILA1ML5WWCCJSVXRH,https://www.mturk.com/mturk/preview?groupId=3CZ46AGKHNVOYK29PG88B0KZWBPMOU,https://requester.mturk.com/mturk/manageHITs
14,3B623HUYJ4X4LWKF839I670FEL5S8S,https://www.mturk.com/mturk/preview?groupId=3XJ64T7AMSV0GO1VPZ0UE8SDTLKWTH,https://requester.mturk.com/mturk/manageHITs
15,3XD2A6FGFN14Z13PDVFW63VQYRNS9H,https://www.mturk.com/mturk/preview?groupId=3SUQABPVM4WFG1GKP4Q4J4EFCZRWU8,https://requester.mturk.com/mturk/manageHITs
16,3NI0WFPPI9NHG9HF6MT0CNY5DYX06S,https://www.mturk.com/mturk/preview?groupId=3HE4IXOKV7G2OW8O8IRA9YRG4IZPW5,https://requester.mturk.com/mturk/manageHITs
17,3P4C70TRMROWAYV77SO5MY3IAAAGLI,https://www.mturk.com/mturk/preview?groupId=33XAU29Y7QJJGFGJ0R02CEVUVKGKHZ,https://requester.mturk.com/mturk/manageHITs
18,3Y7LTZE0YTTZK5D66Y4VYSF7YRXUZF,https://www.mturk.com/mturk/preview?groupId=3C7PNR93YF5MI30EPY5GKU9L6IZ4EE,https://requester.mturk.com/mturk/manageHITs
