cow_L,cow_R,question_num,HIT,Worker_id,response
7128,4035,8,0,A1XO6ONCCTBMKW,3
7128,4035,8,0,A28A3HF3LSEIDT,3
7128,4035,8,0,A31Z5TPD8QKE26,1
7128,4035,8,0,A1IOMFFEKCWOIT,3
7128,4035,8,0,A2R0YYUAWNT7UD,2
7128,4035,8,0,A3UUH3632AI3ZX,1
7128,4035,8,0,AORHXBTOCXFUK,2
7128,4035,8,0,A1IU5OP7BBZHZ7,2
7128,4035,8,0,AZNIEFUIVB2H0,2
7128,4035,8,0,A3GXSHLBND9E92,3
7128,4035,8,0,A3L3ZFL1NYFTCF,3
7128,4035,8,0,A353KETOEN0W8T,3
7128,4035,8,0,AISFU4P55HYEH,1
7128,4035,8,0,A3OZ8KF0HWSVWK,1
7128,4035,8,0,A2FCGEU5RTEWG8,2
7128,4035,8,0,AM0JKZVOEOTMA,3
7128,4035,8,0,A2YHSU2IJZ9J14,3
7128,4035,8,0,ASEMC3G1PJ6SB,1
7128,4035,8,0,A14PFRHG0A2YY9,2
7128,4035,8,0,A13XXMDHOULEZ7,2
7128,4035,8,0,A2J237J8KM3OCS,2
7128,4035,8,0,AAWX7QFQUNM6D,3
5087,6096,7,0,A1XO6ONCCTBMKW,-3
5087,6096,7,0,A28A3HF3LSEIDT,-3
5087,6096,7,0,A31Z5TPD8QKE26,-3
5087,6096,7,0,A1IOMFFEKCWOIT,-3
5087,6096,7,0,A2R0YYUAWNT7UD,-2
5087,6096,7,0,A3UUH3632AI3ZX,-2
5087,6096,7,0,AORHXBTOCXFUK,-3
5087,6096,7,0,A1IU5OP7BBZHZ7,-2
5087,6096,7,0,AZNIEFUIVB2H0,-2
5087,6096,7,0,A3GXSHLBND9E92,-2
5087,6096,7,0,A3L3ZFL1NYFTCF,-3
5087,6096,7,0,A353KETOEN0W8T,-3
5087,6096,7,0,AISFU4P55HYEH,-3
5087,6096,7,0,A3OZ8KF0HWSVWK,-2
5087,6096,7,0,A2FCGEU5RTEWG8,-2
5087,6096,7,0,AM0JKZVOEOTMA,-3
5087,6096,7,0,A2YHSU2IJZ9J14,-3
5087,6096,7,0,ASEMC3G1PJ6SB,-1
5087,6096,7,0,A14PFRHG0A2YY9,-2
5087,6096,7,0,A13XXMDHOULEZ7,-2
5087,6096,7,0,A2J237J8KM3OCS,-3
5087,6096,7,0,AAWX7QFQUNM6D,-2
7045,5087,6,0,A1XO6ONCCTBMKW,2
7045,5087,6,0,A28A3HF3LSEIDT,2
7045,5087,6,0,A31Z5TPD8QKE26,3
7045,5087,6,0,A1IOMFFEKCWOIT,3
7045,5087,6,0,A2R0YYUAWNT7UD,2
7045,5087,6,0,A3UUH3632AI3ZX,2
7045,5087,6,0,AORHXBTOCXFUK,2
7045,5087,6,0,A1IU5OP7BBZHZ7,3
7045,5087,6,0,AZNIEFUIVB2H0,3
7045,5087,6,0,A3GXSHLBND9E92,2
7045,5087,6,0,A3L3ZFL1NYFTCF,3
7045,5087,6,0,A353KETOEN0W8T,3
7045,5087,6,0,AISFU4P55HYEH,3
7045,5087,6,0,A3OZ8KF0HWSVWK,2
7045,5087,6,0,A2FCGEU5RTEWG8,2
7045,5087,6,0,AM0JKZVOEOTMA,3
7045,5087,6,0,A2YHSU2IJZ9J14,3
7045,5087,6,0,ASEMC3G1PJ6SB,2
7045,5087,6,0,A14PFRHG0A2YY9,2
7045,5087,6,0,A13XXMDHOULEZ7,2
7045,5087,6,0,A2J237J8KM3OCS,1
7045,5087,6,0,AAWX7QFQUNM6D,2
7045,4026,9,1,A2J237J8KM3OCS,1
7045,4026,9,1,AORHXBTOCXFUK,2
7045,4026,9,1,A353KETOEN0W8T,3
7045,4026,9,1,A28A3HF3LSEIDT,-1
7045,4026,9,1,A3UUH3632AI3ZX,0
7045,4026,9,1,A3L3ZFL1NYFTCF,2
7045,4026,9,1,A31Z5TPD8QKE26,2
7045,4026,9,1,A1IU5OP7BBZHZ7,0
7045,4026,9,1,A1XO6ONCCTBMKW,-2
7045,4026,9,1,AISFU4P55HYEH,1
7045,4026,9,1,A2YHSU2IJZ9J14,3
7045,4026,9,1,A2FCGEU5RTEWG8,2
7045,4026,9,1,A3GXSHLBND9E92,0
7045,4026,9,1,AM0JKZVOEOTMA,3
7045,4026,9,1,A2R0YYUAWNT7UD,-1
7045,4026,9,1,A13XXMDHOULEZ7,2
7045,4026,9,1,AAWX7QFQUNM6D,1
7064,4008,1,1,A2J237J8KM3OCS,-1
7064,4008,1,1,AORHXBTOCXFUK,2
7064,4008,1,1,A353KETOEN0W8T,2
7064,4008,1,1,A28A3HF3LSEIDT,1
7064,4008,1,1,A3UUH3632AI3ZX,0
7064,4008,1,1,A3L3ZFL1NYFTCF,2
7064,4008,1,1,A31Z5TPD8QKE26,0
7064,4008,1,1,A1IU5OP7BBZHZ7,0
7064,4008,1,1,A1XO6ONCCTBMKW,2
7064,4008,1,1,AISFU4P55HYEH,0
7064,4008,1,1,A2YHSU2IJZ9J14,2
7064,4008,1,1,A2FCGEU5RTEWG8,-1
7064,4008,1,1,A3GXSHLBND9E92,-1
7064,4008,1,1,AM0JKZVOEOTMA,2
7064,4008,1,1,A2R0YYUAWNT7UD,-1
7064,4008,1,1,A13XXMDHOULEZ7,1
7064,4008,1,1,AAWX7QFQUNM6D,-2
5064,4035,2,1,A2J237J8KM3OCS,0
5064,4035,2,1,AORHXBTOCXFUK,-2
5064,4035,2,1,A353KETOEN0W8T,2
5064,4035,2,1,A28A3HF3LSEIDT,1
5064,4035,2,1,A3UUH3632AI3ZX,-2
5064,4035,2,1,A3L3ZFL1NYFTCF,3
5064,4035,2,1,A31Z5TPD8QKE26,1
5064,4035,2,1,A1IU5OP7BBZHZ7,3
5064,4035,2,1,A1XO6ONCCTBMKW,2
5064,4035,2,1,AISFU4P55HYEH,-1
5064,4035,2,1,A2YHSU2IJZ9J14,3
5064,4035,2,1,A2FCGEU5RTEWG8,2
5064,4035,2,1,A3GXSHLBND9E92,1
5064,4035,2,1,AM0JKZVOEOTMA,3
5064,4035,2,1,A2R0YYUAWNT7UD,1
5064,4035,2,1,A13XXMDHOULEZ7,1
5064,4035,2,1,AAWX7QFQUNM6D,2
6053,7163,3,1,A2J237J8KM3OCS,1
6053,7163,3,1,AORHXBTOCXFUK,2
6053,7163,3,1,A353KETOEN0W8T,2
6053,7163,3,1,A28A3HF3LSEIDT,1
6053,7163,3,1,A3UUH3632AI3ZX,1
6053,7163,3,1,A3L3ZFL1NYFTCF,2
6053,7163,3,1,A31Z5TPD8QKE26,-2
6053,7163,3,1,A1IU5OP7BBZHZ7,-1
6053,7163,3,1,A1XO6ONCCTBMKW,0
6053,7163,3,1,AISFU4P55HYEH,2
6053,7163,3,1,A2YHSU2IJZ9J14,3
6053,7163,3,1,A2FCGEU5RTEWG8,2
6053,7163,3,1,A3GXSHLBND9E92,1
6053,7163,3,1,AM0JKZVOEOTMA,-3
6053,7163,3,1,A2R0YYUAWNT7UD,-1
6053,7163,3,1,A13XXMDHOULEZ7,0
6053,7163,3,1,AAWX7QFQUNM6D,1
6046,4035,5,1,A2J237J8KM3OCS,2
6046,4035,5,1,AORHXBTOCXFUK,3
6046,4035,5,1,A353KETOEN0W8T,3
6046,4035,5,1,A28A3HF3LSEIDT,2
6046,4035,5,1,A3UUH3632AI3ZX,1
6046,4035,5,1,A3L3ZFL1NYFTCF,3
6046,4035,5,1,A31Z5TPD8QKE26,2
6046,4035,5,1,A1IU5OP7BBZHZ7,1
6046,4035,5,1,A1XO6ONCCTBMKW,3
6046,4035,5,1,AISFU4P55HYEH,1
6046,4035,5,1,A2YHSU2IJZ9J14,3
6046,4035,5,1,A2FCGEU5RTEWG8,2
6046,4035,5,1,A3GXSHLBND9E92,2
6046,4035,5,1,AM0JKZVOEOTMA,3
6046,4035,5,1,A2R0YYUAWNT7UD,2
6046,4035,5,1,A13XXMDHOULEZ7,3
6046,4035,5,1,AAWX7QFQUNM6D,3
7136,7114,6,1,A2J237J8KM3OCS,-2
7136,7114,6,1,AORHXBTOCXFUK,-1
7136,7114,6,1,A353KETOEN0W8T,2
7136,7114,6,1,A28A3HF3LSEIDT,-1
7136,7114,6,1,A3UUH3632AI3ZX,-1
7136,7114,6,1,A3L3ZFL1NYFTCF,2
7136,7114,6,1,A31Z5TPD8QKE26,-3
7136,7114,6,1,A1IU5OP7BBZHZ7,-1
7136,7114,6,1,A1XO6ONCCTBMKW,2
7136,7114,6,1,AISFU4P55HYEH,1
7136,7114,6,1,A2YHSU2IJZ9J14,2
7136,7114,6,1,A2FCGEU5RTEWG8,-1
7136,7114,6,1,A3GXSHLBND9E92,-1
7136,7114,6,1,AM0JKZVOEOTMA,-2
7136,7114,6,1,A2R0YYUAWNT7UD,-1
7136,7114,6,1,A13XXMDHOULEZ7,0
7136,7114,6,1,AAWX7QFQUNM6D,-1
7128,6025,8,1,A2J237J8KM3OCS,-1
7128,6025,8,1,AORHXBTOCXFUK,-2
7128,6025,8,1,A353KETOEN0W8T,-2
7128,6025,8,1,A28A3HF3LSEIDT,-1
7128,6025,8,1,A3UUH3632AI3ZX,-1
7128,6025,8,1,A3L3ZFL1NYFTCF,-2
7128,6025,8,1,A31Z5TPD8QKE26,-1
7128,6025,8,1,A1XO6ONCCTBMKW,-2
7128,6025,8,1,AISFU4P55HYEH,1
7128,6025,8,1,A2YHSU2IJZ9J14,-2
7128,6025,8,1,A2FCGEU5RTEWG8,0
7128,6025,8,1,A3GXSHLBND9E92,0
7128,6025,8,1,AM0JKZVOEOTMA,-1
7128,6025,8,1,A2R0YYUAWNT7UD,-1
7128,6025,8,1,A13XXMDHOULEZ7,0
