cow_L,cow_R,question_num,HIT,Worker_id,response,id
7045,5087,6,0,AM0JKZVOEOTMA,3,0-6
7045,5087,6,0,A2FCGEU5RTEWG8,2,0-6
7045,5087,6,0,A2R0YYUAWNT7UD,2,0-6
7045,5087,6,0,A1XO6ONCCTBMKW,2,0-6
7045,5087,6,0,A3OZ8KF0HWSVWK,2,0-6
7045,5087,6,0,A14PFRHG0A2YY9,2,0-6
7045,5087,6,0,A31Z5TPD8QKE26,3,0-6
7045,5087,6,0,A1IU5OP7BBZHZ7,3,0-6
7045,5087,6,0,A3UUH3632AI3ZX,2,0-6
7045,5087,6,0,AZNIEFUIVB2H0,3,0-6
7045,5087,6,0,A1IOMFFEKCWOIT,3,0-6
7045,5087,6,0,ASEMC3G1PJ6SB,2,0-6
7045,5087,6,0,AAWX7QFQUNM6D,2,0-6
7045,5087,6,0,A28A3HF3LSEIDT,2,0-6
5087,6096,7,0,A1IU5OP7BBZHZ7,-2,0-7
5087,6096,7,0,A13XXMDHOULEZ7,-2,0-7
5087,6096,7,0,A2R0YYUAWNT7UD,-2,0-7
5087,6096,7,0,A14PFRHG0A2YY9,-2,0-7
5087,6096,7,0,AAWX7QFQUNM6D,-2,0-7
5087,6096,7,0,A3UUH3632AI3ZX,-2,0-7
5087,6096,7,0,A2YHSU2IJZ9J14,-3,0-7
5087,6096,7,0,A2FCGEU5RTEWG8,-2,0-7
5087,6096,7,0,A31Z5TPD8QKE26,-3,0-7
5087,6096,7,0,A1IOMFFEKCWOIT,-3,0-7
5087,6096,7,0,A1XO6ONCCTBMKW,-3,0-7
5087,6096,7,0,A3L3ZFL1NYFTCF,-3,0-7
5087,6096,7,0,ASEMC3G1PJ6SB,-1,0-7
5087,6096,7,0,A2J237J8KM3OCS,-3,0-7
7128,4035,8,0,A1XO6ONCCTBMKW,3,0-8
7128,4035,8,0,A28A3HF3LSEIDT,3,0-8
7128,4035,8,0,AM0JKZVOEOTMA,3,0-8
7128,4035,8,0,A2FCGEU5RTEWG8,2,0-8
7128,4035,8,0,A3UUH3632AI3ZX,1,0-8
7128,4035,8,0,AISFU4P55HYEH,1,0-8
