HIT,HIT_id,HIT_website_address,HIT_results_address,HIT_status,submitted_assignments,Worker_id,Assignment_id,Accept_time,Submit_time,Full_response,isBot,assignment_status,comment,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A28A3HF3LSEIDT,36TFCYNS45I8X851VKED6C6X67KHX6,2023-08-30 01:36:42-07:00,2023-08-30 01:45:31-07:00,"[{""comment"":""nice"",""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q6"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""106.205.78.191-undefined""}]",undefined,Approved,nice,-2,0,0,1,2,-1,2,1,1,-1
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A1IOMFFEKCWOIT,3DYGAII7PMGG1S2DSJRQLDCVVV7PQM,2023-08-30 01:37:00-07:00,2023-08-30 01:50:42-07:00,"[{""comment"":""nice"",""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":true},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":true},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":true},""worker_ip"":""136.185.166.1-""}]",,Approved,nice,-3,video not playing,-2,2,-2,3,3,video not playing,video not playing,-3
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A1XO6ONCCTBMKW,3NAPMVF0ZXNA33WSUM78P9N7FVN72J,2023-08-30 01:36:44-07:00,2023-08-30 01:52:40-07:00,"[{""comment"":""nice"",""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""136.185.176.149-""}]",,Approved,nice,-2,1,2,3,2,-3,-3,3,0,-2
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,AM0JKZVOEOTMA,3HFNH7HEMIMAOF9EP013R4Y3U5ZGQQ,2023-08-30 01:59:51-07:00,2023-08-30 02:11:30-07:00,"[{""q1"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""120.138.12.198-""}]",,Approved,,-1,2,-2,3,0,-2,-3,3,0,-3
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A1IU5OP7BBZHZ7,3T3IWE1XG7VETKVK900AQNDSL35TQJ,2023-08-30 05:46:12-07:00,2023-08-30 05:53:19-07:00,"[{""q1"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":true},""q6"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""49.205.81.171-""}]",,Approved,,-1,0,0,1,video not playing,-1,-3,3,0,0
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A2YHSU2IJZ9J14,37KGEN7NJ4YV1G1YS6C1L8MLR7FPP6,2023-08-30 08:20:47-07:00,2023-08-30 08:32:04-07:00,"[{""q1"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""116.88.74.7-""}]",,Approved,,-1,1,1,-1,-2,2,-1,3,0,1
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A3L3ZFL1NYFTCF,31LM9EDVOM0ZCKMNHEUPKNVEIUBJN9,2023-08-30 09:42:51-07:00,2023-08-30 09:48:03-07:00,"[{""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""106.208.29.66-""}]",,Approved,,-2,-1,1,3,-1,-3,-3,3,0,1
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A14PFRHG0A2YY9,3C8HJ7UOP82JUH6RNZIBV2U4W3XZMV,2023-08-30 10:23:42-07:00,2023-08-30 10:27:43-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""172.58.89.16-""}]",,Approved,,0,0,-1,2,0,-2,-2,2,0,0
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,A353KETOEN0W8T,3WEV0KO0ON0JPBE0FEP0GJA70AJSDF,2023-08-30 10:52:08-07:00,2023-08-30 11:00:24-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q10"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""49.37.152.100-""}]",,Approved,,2,1,-2,3,-2,-3,-3,3,0,-1
2,36GJS3V78VXQF87747CS6JQQ67HGJ0,https://www.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30BDNZQCBGAARYP,https://requester.mturk.com/mturk/manageHITs,Reviewable,17,AAWX7QFQUNM6D,3FIJLY1B6VCJA3C4E3GW9E8HP5JPF2,2023-08-30 12:28:39-07:00,2023-08-30 12:33:34-07:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false}}]",,Approved,,0,0,-1,1,-1,-1,-1,2,0,1
