winner,loser,degree
7045,7128,0
7128,7045,1
7128,7045,1
7045,7128,0
7128,7045,3
7045,7128,0
7045,7128,1
7045,7128,1
7045,7128,0
7128,7045,1
7128,7045,2
7128,7045,1
7128,6096,2
6096,7128,2
6096,7128,1
7128,6096,2
7128,6096,3
7128,6096,1
6096,7128,1
6096,7128,0
6096,7128,0
6096,7128,0
6096,7128,0
6096,7128,0
7128,6086,2
6086,7128,3
7128,6086,2
7128,6086,1
6086,7128,2
6086,7128,2
6086,7128,2
6086,7128,0
7128,6086,1
6086,7128,2
6086,7128,1
6086,7128,0
4035,7128,3
4035,7128,3
4035,7128,2
4035,7128,1
4035,7128,2
4035,7128,3
4035,7128,2
4035,7128,2
4035,7128,2
4035,7128,1
4035,7128,3
4035,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
5087,7128,3
7064,7045,2
7064,7045,2
7064,7045,2
7064,7045,2
7064,7045,1
7064,7045,3
7045,7064,1
7064,7045,1
7045,7064,1
7064,7045,3
7064,7045,2
7045,7064,0
7064,6096,2
7064,6096,1
7064,6096,1
7064,6096,2
7064,6096,2
7064,6096,0
7064,6096,2
7064,6096,3
6096,7064,1
6096,7064,2
7064,6096,1
7064,6096,2
7064,6086,1
7064,6086,1
7064,6086,1
7064,6086,2
6086,7064,1
7064,6086,0
7064,6086,2
7064,6086,2
6086,7064,3
6086,7064,2
7064,6086,0
7064,6086,0
4035,7064,1
4035,7064,2
4035,7064,3
4035,7064,1
4035,7064,3
4035,7064,2
4035,7064,3
4035,7064,3
4035,7064,2
4035,7064,2
4035,7064,3
4035,7064,2
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5087,7064,3
5064,7045,3
5064,7045,2
5064,7045,1
5064,7045,2
5064,7045,2
5064,7045,1
5064,7045,1
7045,5064,0
5064,7045,2
5064,7045,3
5064,7045,1
5064,7045,2
5064,6096,3
5064,6096,2
6096,5064,0
5064,6096,2
6096,5064,1
5064,6096,1
6096,5064,1
5064,6096,1
5064,6096,2
5064,6096,2
5064,6096,2
5064,6096,2
6086,5064,3
6086,5064,1
5064,6086,1
6086,5064,3
5064,6086,2
6086,5064,0
6086,5064,3
5064,6086,2
5064,6086,1
6086,5064,3
6086,5064,1
5064,6086,3
4035,5064,3
4035,5064,2
4035,5064,1
4035,5064,3
4035,5064,1
4035,5064,3
5064,4035,2
4035,5064,2
4035,5064,1
5064,4035,2
4035,5064,3
4035,5064,2
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
5087,5064,3
7045,6053,0
7045,6053,2
7045,6053,0
7045,6053,0
6053,7045,1
6053,7045,1
6053,7045,1
7045,6053,0
6053,7045,2
7045,6053,0
7045,6053,3
6053,7045,2
6096,6053,1
6053,6096,1
6053,6096,2
6053,6096,2
6053,6096,1
6053,6096,3
6096,6053,1
6053,6096,1
6096,6053,1
6096,6053,2
6053,6096,2
6053,6096,1
6086,6053,2
