"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"10-q1",-1,-1,-1,1.63,80,5,7.35,"easy",-1
"10-q2",1.1,1,3,1.97,70,15,7.71,"hard",0.4
"0-q10",-2,-2.5,-3,1.83,90,9,6.69,"easy",-3
"5-q7",-2.6,-3,-3,0.7,100,4.5,8.98,"easy",-2
"10-q8",2.8,3,3,0.63,100,10,8.45,"hard",0.4
"8-q10",0.6,0,0,1.35,30,6,6.9,"hard",0.8
"10-q5",0.2,0,0,1.62,30,10,8.45,"hard",0.2
"5-q10",-2.7,-3,-3,0.48,100,9.5,7.47,"easy",-2.6
"2-q9",-1,-1,-3,1.94,70,13.5,8.76,"hard",-0.6
"5-q3",3,3,3,0,100,6.5,6.61,"easy",2.6
"5-q5",0.1,1,1,1.45,60,7.5,6.69,"hard",-0.4
"7-q8",-0.6,-1.5,-2,2.12,60,14.5,7.76,"hard",0.4
"8-q8",-0.8,-1,-1,1.69,80,9.5,5.76,"easy",-0.6
"2-q4",0.5,0,0,1.58,40,6,8.38,"hard",-1
"7-q5",0.8,0.5,0,1.87,50,7.5,7.85,"hard",-0.4
"2-q1",-1.9,-2,-2,1.79,90,7,6.85,"easy",-2.2
"10-q3",2.6,3,3,0.84,100,5,7.35,"easy",1.6
"1-q6",0.4,1,1,2.07,60,5.5,4.88,"easy",1.6
"7-q2",0.1,0,3,2.38,40,14.5,7.76,"hard",-0.8
"9-q5",-1.1,-3,-3,2.85,70,4.5,10.09,"easy",-3
"8-q7",2.2,3,3,1.03,100,9.5,5.76,"hard",0
"0-q8",0.2,0,0,0.63,30,4.5,4.57,"hard",-0.2
"4-q2",-2,-3,-3,1.89,90,14.5,8.19,"easy",-1.2
"6-q7",1.7,2,3,1.64,90,9,6.07,"easy",0.4
"1-q1",1.2,3,3,2.57,70,5.5,4.88,"easy",2.4
"10-q7",1.6,2,3,1.71,80,15,7.71,"hard",-0.2
"4-q1",-1.7,-2,-1,1.25,90,14.5,8.19,"easy",-0.6
"8-q1",-0.1,-0.5,-2,1.91,50,6,6.9,"hard",0
"4-q4",-2.3,-3,-3,1.89,90,14.5,8.19,"easy",-3
"9-q5",-2.3,-3,-3,1.89,90,7.5,8.17,"easy",-3
"5-q3",3,3,3,0,100,9.5,7.47,"easy",2.6
"7-q2",1.4,2,3,2.01,70,12,8.52,"hard",-0.8
"4-q8",-0.1,0,0,2.02,40,9.5,8.12,"easy",1
"2-q7",-0.4,-1,-3,2.55,60,13.5,8.76,"hard",0
"6-q3",1.3,1,1,1.25,70,9,6.07,"hard",0
"7-q4",0.2,0,0,1.93,40,7.5,7.85,"easy",1.8
"10-q3",3,3,3,0,100,10,8.45,"easy",1.6
"3-q1",0.1,0,0,1.91,30,10,7.51,"hard",-0.6
"1-q6",0.8,0.5,0,1.75,50,6,7.97,"easy",1.6
"9-q7",1.9,2,3,1.2,90,7.5,8.17,"hard",0
"10-q2",-0.1,-0.5,-2,2.33,50,10,8.45,"hard",0.4
"5-q3",3,3,3,0,100,4.5,8.98,"easy",2.6
"7-q2",0.3,0,-2,2.11,40,7.5,7.85,"hard",-0.8
"8-q1",0.1,0,3,2.23,40,5.5,5.95,"hard",0
"7-q8",0.4,0,0,1.58,30,7.5,7.85,"hard",0.4
"3-q4",0.2,1,1,1.87,70,6.5,4.51,"hard",0.4
"1-q9",0,0,0,1.83,40,6,7.97,"hard",0
"10-q4",0.8,1,3,1.93,60,15,7.71,"hard",0.2
"10-q2",0.1,0.5,-3,2.51,50,8.5,7.84,"hard",0.4
"3-q1",0.5,0,0,1.58,40,6,11.16,"hard",-0.6
"8-q1",-0.6,-1,-1,1.58,70,9.5,5.76,"hard",0
"3-q8",-0.7,-2.5,-3,2.83,60,6.5,4.51,"easy",-1.8
"10-q9",-0.3,0,0,1.42,40,10,8.45,"hard",0
"4-q3",0,-0.5,3,2.83,50,11.5,6.29,"easy",-2.2
"3-q3",1.8,3,3,1.75,80,9,7.2,"easy",0.6
"1-q10",-2.4,-3,-3,1.9,90,9.5,9.67,"easy",-3
"9-q6",0,-0.5,-1,1.89,50,7.5,8.17,"hard",0.2
"3-q5",-0.1,-0.5,-1,1.45,50,6.5,4.51,"hard",0.6
"3-q4",1.5,1,3,1.43,80,6,11.16,"hard",0.4
"8-q9",1.4,1,3,1.43,60,5.5,5.95,"hard",-0.8
"8-q10",1.3,1.5,3,1.83,50,6.5,6.29,"hard",0.8
"9-q2",-1.3,-1,-1,0.95,80,7,8.12,"easy",-1.4
"1-q3",-2.7,-3,-3,0.67,100,9.5,9.67,"easy",-3
"8-q10",-0.5,0,0,0.97,40,9.5,5.76,"hard",0.8
"6-q3",1,1,0,1.63,60,17.5,7.57,"hard",0
"5-q6",-2.2,-3,-3,1.87,90,7.5,6.69,"easy",-2.4
"10-q7",0.6,1,1,1.78,60,8.5,7.84,"hard",-0.2
"9-q7",1.2,1,3,1.93,70,4.5,10.09,"hard",0
"6-q8",1.9,3,3,1.66,90,9.5,6.14,"easy",1
"2-q10",0.6,1,1,1.17,60,7,6.85,"easy",1
"5-q5",0.9,1,1,1.29,60,9.5,7.47,"hard",-0.4
"8-q5",1.5,1.5,0,1.58,50,6.5,6.29,"easy",1.6
"9-q9",-0.5,0,0,1.78,30,7.5,8.17,"hard",0
"7-q9",0.2,0,0,1.93,40,14.5,7.76,"easy",1.8
"9-q5",-2.9,-3,-3,0.32,100,6.5,7.18,"easy",-3
"7-q1",0.5,-0.5,-1,2.27,50,7.5,7.85,"hard",-0.2
"6-q1",-0.2,-1,-2,2.35,60,17.5,7.57,"easy",-1.4
"0-q4",0.2,0,3,2.3,50,9,6.69,"hard",-1
"2-q4",-0.3,0,0,2.21,40,13.5,8.76,"hard",-1
"8-q2",2,3,3,1.76,80,5.5,5.95,"easy",1
"2-q1",-2.3,-3,-3,1.89,90,6,8.38,"easy",-2.2
"3-q10",-0.2,-1,-1,1.32,60,6,11.16,"hard",0
"9-q9",-0.5,-0.5,0,1.58,50,7,8.12,"hard",0
"0-q7",-1.1,-1.5,-3,2.13,70,4.5,4.57,"easy",-1.4
"9-q6",-0.3,-1,-1,1.42,60,6.5,7.18,"hard",0.2
"8-q8",-0.8,-1,-1,1.75,70,6,6.9,"easy",-0.6
"3-q5",0.7,0,0,1.34,40,9,7.2,"hard",0.6
"2-q6",2.8,3,3,0.63,100,13.5,8.76,"easy",3
"2-q9",-1.1,-2,-2,1.91,70,10,8.84,"hard",-0.6
"10-q4",-0.7,-0.5,1,1.49,50,10,8.45,"hard",0.2
"10-q4",0.2,0,0,1.81,30,8.5,7.84,"hard",0.2
"0-q9",-0.8,-1,-1,1.55,80,4.5,4.57,"easy",-1.2
"6-q10",-0.1,0,0,2.02,40,9.5,6.14,"easy",-0.4
"8-q1",0.2,0,3,2.1,40,6.5,6.29,"hard",0
"3-q1",0.2,0,3,2.3,40,6.5,4.51,"hard",-0.6
"1-q2",-1.7,-2.5,-3,1.95,80,9.5,9.67,"easy",-2.6
"0-q6",3,3,3,0,100,4.5,4.57,"easy",3
"9-q2",0.4,-0.5,3,2.37,50,4.5,10.09,"easy",-1.4
"9-q4",-2.7,-3,-3,0.67,100,6.5,7.18,"easy",-2.8
"9-q10",1.4,1,1,1.84,90,6.5,7.18,"easy",0.6
"6-q5",-2,-3,-3,2,80,4.5,3.17,"easy",-2.2
"5-q6",-2.6,-3,-3,0.97,90,4.5,8.98,"easy",-2.4
"1-q10",-2.3,-3,-3,1.89,90,5.5,4.88,"easy",-3
"3-q5",-0.9,-0.5,0,1.37,50,10,7.51,"hard",0.6
"8-q9",-0.2,0,0,1.32,40,6.5,6.29,"hard",-0.8
"10-q2",-0.1,0,0,1.91,40,5,7.35,"hard",0.4
"7-q8",0.6,0,0,1.9,40,12,8.52,"hard",0.4
"1-q5",-0.8,-1,-1,2.25,70,5.5,4.88,"easy",-1.2
"0-q8",-0.7,-1,-1,1.64,60,7,5.56,"hard",-0.2
"3-q2",2.2,3,3,1.93,90,10,7.51,"easy",0.6
"7-q4",1.4,2,3,1.78,60,12,8.52,"easy",1.8
"9-q10",1.2,1,3,1.93,80,7,8.12,"easy",0.6
"3-q9",1.1,1,1,1.6,70,9,7.2,"hard",-0.4
"0-q1",-1.6,-2,-3,1.9,80,7,5.56,"easy",-2.2
"3-q9",0.6,1,1,1.71,60,6,11.16,"hard",-0.4
"2-q2",2.7,3,3,0.95,90,7,6.85,"easy",2.2
"0-q10",-2.3,-3,-3,1.89,90,4.5,4.57,"easy",-3
"2-q3",0.2,0,1,1.4,40,13.5,8.76,"easy",0.8
"7-q1",-0.5,-1.5,-2,2.17,60,14.5,7.76,"hard",-0.2
"1-q6",1.4,1,3,1.51,70,9.5,9.67,"easy",1.6
